Time  	KZ11W:	KZ11C:	SD13L:
15:33:58 260.5	17.6	10435	
15:33:59 261.0	17.6	11505	
15:34:00 261.2	17.6	12031	
15:34:01 262.1	17.6	12122	
15:34:02 262.0	17.6	12135	
15:34:04 254.5	17.6	12104	
15:34:05 277.7	17.6	12074	
15:34:06 275.7	17.6	12108	
15:34:07 262.9	17.6	12128	
15:34:08 258.5	17.6	12135	
15:34:09 261.9	17.6	12152	
15:34:10 283.9	17.6	12164	
15:34:11 284.8	17.6	12165	
15:34:12 276.4	17.6	12151	
15:34:13 283.3	17.6	12167	
15:34:15 287.0	17.6	12146	
15:34:16 288.8	17.6	12132	
15:34:17 290.5	17.6	12123	
15:34:18 285.3	17.6	12095	
15:34:19 285.4	17.6	12090	
15:34:20 289.7	17.7	12049	
15:34:21 287.8	17.7	11995	
15:34:22 288.8	17.7	12006	
15:34:23 289.7	17.7	12034	
15:34:24 263.8	17.7	12049	
15:34:25 114.3	17.7	12062	
15:34:27 76.8	17.6	12065	
15:34:28 64.2	17.7	12060	
15:34:29 55.8	17.6	12052	
15:34:30 48.7	17.6	12046	
15:34:31 43.2	17.7	12034	
15:34:32 39.4	17.7	12033	
15:34:33 36.0	17.6	12029	
15:34:34 33.8	17.6	12033	
15:34:35 32.3	17.6	12041	
15:34:36 30.7	17.6	12024	
15:34:38 29.4	17.6	12030	
15:34:39 28.5	17.6	12011	
15:34:40 27.8	17.6	12014	
15:34:41 27.2	17.6	12002	
15:34:42 26.5	17.6	11990	
15:34:43 26.0	17.6	11991	
15:34:44 25.7	17.6	11992	
15:34:45 26.0	17.6	11986	
15:34:46 25.4	17.6	11981	
15:34:48 25.7	17.6	11987	
15:34:49 25.6	17.7	11986	
15:34:50 25.4	17.6	11975	
15:34:51 25.3	17.7	11963	
15:34:52 25.1	17.7	11961	
15:34:53 25.0	17.7	11961	
15:34:54 24.8	17.7	11948	
15:34:55 24.3	17.7	11939	
15:34:56 24.1	17.7	11931	
15:34:57 23.7	17.7	11918	
15:34:58 23.5	17.7	11906	
15:35:00 23.2	17.7	11894	
15:35:01 23.2	17.7	11875	
15:35:02 23.1	17.7	11869	
15:35:03 23.1	17.7	11860	
15:35:04 23.3	17.7	11855	
15:35:05 23.6	17.7	11804	
15:35:06 23.8	17.7	11782	
15:35:07 23.9	17.7	11750	
15:35:08 24.0	17.7	11754	
15:35:09 27.5	17.7	11773	
15:35:11 130.1	17.7	11771	
15:35:12 197.2	17.7	11766	
15:35:13 115.7	17.7	11754	
15:35:14 79.1	17.7	11730	
15:35:15 61.3	17.7	11721	
15:35:16 50.4	17.7	11724	
15:35:17 52.8	17.7	11703	
15:35:18 51.4	17.7	11665	
15:35:19 55.7	17.7	11655	
15:35:20 51.6	17.7	11661	
15:35:22 54.1	17.7	11653	
15:35:23 53.9	17.7	11631	
15:35:24 53.2	17.7	11642	
15:35:25 54.2	17.7	11643	
15:35:26 53.5	17.7	11644	
15:35:27 52.9	17.7	11647	
15:35:28 52.8	17.7	11639	
15:35:29 52.0	17.7	11627	
15:35:30 56.6	17.7	11627	
15:35:31 58.6	17.7	11612	
15:35:33 60.2	17.7	11622	
15:35:34 61.2	17.7	11631	
15:35:35 62.0	17.7	11606	
15:35:36 62.6	17.7	11606	
15:35:37 63.4	17.7	11594	
15:35:38 63.9	17.7	11589	
15:35:39 64.7	17.7	11592	
15:35:40 65.9	17.7	11571	
15:35:41 68.5	17.7	11551	
15:35:42 167.9	17.7	11538	
15:35:43 198.8	17.7	11529	
15:35:45 206.6	17.7	11486	
15:35:46 210.7	17.7	11243	
15:35:47 213.5	17.7	9644	
15:35:48 215.2	17.7	9843	
15:35:49 216.0	17.7	9807	
15:35:50 216.4	17.7	9877	
15:35:51 216.2	17.7	9679	
15:35:52 215.5	17.7	9678	
15:35:53 214.6	17.7	9652	
15:35:54 212.6	17.7	9609	
15:35:56 212.4	17.7	9590	
15:35:57 211.5	17.7	9802	
