Time  	KZ11W:	KZ11C:	SD13L:
09:50:05 -1.9	23.8	0	
09:50:06 -1.9	23.8	0	
09:50:07 -1.9	23.8	0	
09:50:08 -1.9	23.8	0	
09:50:09 -1.9	23.8	0	
09:50:10 -1.9	23.8	0	
09:50:11 -1.9	23.9	0	
09:50:12 -1.9	23.8	0	
09:50:14 -1.9	23.8	0	
09:50:15 -1.9	23.8	0	
09:50:16 -1.9	23.9	0	
09:50:17 -1.9	23.8	0	
09:50:18 -1.9	23.8	0	
09:50:19 -1.8	23.8	0	
09:50:21 -1.8	23.8	0	
09:50:22 -1.8	23.8	0	
09:50:23 -1.8	23.8	0	
09:50:24 -1.8	23.9	0	
09:50:25 -1.8	23.8	0	
09:50:26 -1.8	23.9	0	
09:50:27 -1.8	23.9	0	
09:50:28 -1.8	23.9	0	
09:50:29 -1.8	23.8	0	
09:50:30 -1.8	23.9	0	
09:50:32 -1.8	23.9	0	
09:50:33 -1.8	23.9	0	
09:50:34 -1.8	23.9	0	
09:50:35 -1.7	23.9	0	
09:50:36 -1.7	23.9	0	
09:50:37 -1.7	23.9	0	
09:50:38 -1.7	23.8	0	
09:50:39 -1.7	23.9	0	
09:50:40 -1.7	23.9	0	
09:50:41 -1.7	23.9	0	
09:50:42 -1.7	23.9	0	
09:50:44 -1.7	23.9	0	
09:50:45 -1.7	23.9	0	
09:50:46 -1.7	23.9	0	
09:50:47 -1.7	23.9	0	
09:50:48 -1.7	23.9	0	
