Time  	KZ11W:	KZ11C:	SD13L:
09:51:58 200.6	24.1	0	
09:51:59 200.5	24.1	0	
09:52:00 200.4	24.1	0	
09:52:01 200.4	24.1	0	
09:52:02 200.4	24.1	0	
09:52:03 200.4	24.1	0	
09:52:04 200.3	24.1	0	
09:52:05 200.3	24.1	0	
09:52:06 200.3	24.1	0	
09:52:07 200.3	24.1	0	
09:52:09 200.3	24.1	0	
09:52:10 200.2	24.1	0	
09:52:11 200.2	24.1	0	
09:52:12 200.2	24.1	0	
09:52:13 200.2	24.1	0	
09:52:14 200.2	24.1	0	
09:52:15 200.2	24.1	0	
09:52:16 200.2	24.1	0	
09:52:17 200.1	24.1	0	
09:52:18 200.1	24.1	0	
09:52:21 200.1	24.1	0	
09:52:22 200.1	24.1	0	
09:52:23 200.0	24.1	0	
09:52:24 200.0	24.1	0	
09:52:25 200.0	24.1	0	
09:52:26 200.0	24.1	0	
09:52:27 200.0	24.1	0	
09:52:28 200.0	24.1	0	
09:52:29 200.0	24.1	0	
09:52:31 199.9	24.1	0	
09:52:32 199.9	24.1	0	
09:52:33 199.9	24.1	0	
09:52:34 199.9	24.1	0	
09:52:35 199.9	24.1	0	
09:52:36 199.9	24.1	0	
09:52:37 199.9	24.1	0	
09:52:38 199.9	24.1	0	
09:52:39 199.9	24.1	0	
09:52:41 199.9	24.1	0	
09:52:42 199.9	24.1	0	
09:52:43 199.9	24.1	0	
09:52:44 199.9	24.1	0	
09:52:45 199.9	24.1	0	
09:52:46 199.9	24.1	0	
09:52:47 199.9	24.1	0	
09:52:48 199.9	24.1	0	
09:52:49 199.9	24.1	0	
09:52:51 199.9	24.1	0	
09:52:52 199.9	24.1	0	
09:52:53 199.9	24.1	0	
09:52:54 199.9	24.1	0	
09:52:55 199.9	24.1	0	
09:52:56 199.9	24.1	0	
