Time  	KZ11W:	KZ11C:	SD13L:
09:55:45 1.3	24.1	5887	
09:55:46 1.4	24.2	5887	
09:55:47 1.4	24.2	5887	
09:55:48 1.4	24.2	5886	
09:55:49 1.4	24.2	5885	
09:55:50 1.4	24.2	5886	
09:55:51 1.5	24.2	5886	
09:55:53 1.4	24.1	5885	
09:55:54 1.4	24.2	5886	
09:55:55 1.4	24.2	5886	
09:55:56 1.4	24.2	5886	
09:55:57 1.5	24.2	5886	
09:55:58 1.5	24.2	5886	
09:55:59 1.5	24.2	5885	
09:56:00 1.5	24.2	5885	
09:56:01 1.5	24.2	5885	
09:56:02 1.5	24.2	5885	
09:56:03 1.5	24.2	5885	
09:56:05 1.5	24.2	5886	
09:56:06 1.5	24.2	5885	
09:56:07 1.5	24.2	5886	
09:56:08 1.5	24.2	5888	
09:56:09 1.5	24.2	5888	
09:56:10 1.5	24.2	5887	
09:56:11 1.5	24.2	5886	
09:56:12 1.5	24.2	5887	
09:56:13 1.5	24.2	5888	
09:56:14 1.5	24.2	5888	
09:56:16 1.5	24.2	5888	
09:56:17 1.5	24.2	5888	
09:56:18 1.5	24.2	5888	
09:56:19 1.5	24.2	5888	
09:56:20 1.4	24.2	5888	
09:56:21 1.4	24.1	5888	
