Time  	KZ11W:	KZ11C:	SD13L:
10:23:43 1	-20	14148	
10:23:44 2	-20	14163	
10:23:45 3	-20	14169	
10:23:46 4	-20	14163	
10:23:47 5	-20	14164	
10:23:48 6	-20	14177	
10:23:49 7	-20	14175	
10:23:50 8	-20	14173	
10:23:51 9	-20	14175	
10:23:52 10	-20	14172	
10:23:53 11	-20	14173	
10:23:54 12	-20	14175	
10:23:55 13	-20	14168	
10:23:56 14	-20	14165	
10:23:57 15	-20	14160	
10:23:58 16	-20	14159	
10:23:59 17	-20	14166	
10:24:00 18	-20	14168	
10:24:02 19	-20	14159	
10:24:03 20	-20	14162	
10:24:04 21	-20	14163	
10:24:05 22	-20	14165	
10:24:06 23	-20	14169	
10:24:07 24	-20	14161	
10:24:08 25	-20	14166	
10:24:09 26	-20	14164	
10:24:10 27	-20	14167	
10:24:11 28	-20	14162	
10:24:12 29	-20	14162	
10:24:13 30	-20	14160	
10:24:14 31	-20	14149	
10:24:15 32	-20	14146	
10:24:16 33	-20	14149	
10:24:17 34	-20	14148	
10:24:18 35	-20	14151	
10:24:19 36	-20	14156	
10:24:20 37	-20	14154	
10:24:21 38	-20	14154	
10:24:22 39	-20	14153	
10:24:23 40	-20	14155	
10:24:25 41	-20	14152	
10:24:26 42	-20	14149	
10:24:27 43	-20	14149	
10:24:28 44	-20	14147	
10:24:29 45	-20	14146	
10:24:30 46	-20	14143	
10:24:31 47	-20	14140	
10:24:32 48	-20	14145	
10:24:33 49	-20	14136	
10:24:34 50	-20	14149	
10:24:35 51	-20	14148	
10:24:36 52	-20	14131	
10:24:37 53	-20	14128	
10:24:38 54	-20	14121	
10:24:39 55	-20	14121	
10:24:40 56	-20	14121	
10:24:41 57	-20	14126	
10:24:42 58	-20	14141	
10:24:43 59	-20	14134	
10:24:44 60	-20	14125	
10:24:45 61	-20	14134	
10:24:47 62	-20	14117	
10:24:48 63	-20	14119	
10:24:49 64	-20	14120	
10:24:50 65	-20	14121	
10:24:51 66	-20	14119	
10:24:52 67	-20	14090	
10:24:53 68	-20	14088	
10:24:54 69	-20	14089	
10:24:55 70	-20	14087	
10:24:56 71	-20	14088	
10:24:57 72	-20	14087	
10:24:58 73	-20	14090	
10:24:59 74	-20	14096	
10:25:00 75	-20	14099	
10:25:01 76	-20	14097	
10:25:02 77	-20	14099	
10:25:03 78	-20	14101	
10:25:04 79	-20	14107	
10:25:05 80	-20	14110	
10:25:06 81	-20	14115	
10:25:07 82	-20	14075	
10:25:08 83	-20	14043	
10:25:10 84	-20	14027	
10:25:11 85	-20	14055	
10:25:12 86	-20	14063	
10:25:13 87	-20	14069	
10:25:14 88	-20	14076	
10:25:15 89	-20	14107	
10:25:16 90	-20	14123	
10:25:17 91	-20	14156	
10:25:18 92	-20	14178	
10:25:19 93	-20	14178	
10:25:20 94	-20	14178	
10:25:21 95	-20	14175	
10:25:22 96	-20	14175	
10:25:23 97	-20	13653	
10:25:24 98	-20	13684	
10:25:25 99	-20	13631	
10:25:26 100	-20	13755	
10:25:27 101	-20	13762	
10:25:28 102	-20	13732	
10:25:29 103	-20	13725	
10:25:30 104	-20	13709	
10:25:31 105	-20	13719	
10:25:33 106	-20	13768	
10:25:34 107	-20	13756	
10:25:35 108	-20	13754	
10:25:36 109	-20	13780	
10:25:37 110	-20	13826	
10:25:38 111	-20	14029	
10:25:39 112	-20	14036	
10:25:40 113	-20	14062	
10:25:41 114	-20	14021	
10:25:42 115	-20	13999	
10:25:43 116	-20	13998	
10:25:44 117	-20	13986	
10:25:45 118	-20	14004	
10:25:46 119	-20	13987	
10:25:47 120	-20	14009	
10:25:48 121	-20	13624	
10:25:49 122	-20	13665	
10:25:50 123	-20	13743	
10:25:51 124	-20	13732	
10:25:52 125	-20	13696	
10:25:53 126	-20	13698	
10:25:54 127	-20	13573	
10:25:56 128	-20	13564	
10:25:57 129	-20	13734	
10:25:58 130	-20	14157	
10:25:59 131	-20	14072	
10:26:00 132	-20	14087	
10:26:01 133	-20	14085	
10:26:02 134	-20	14087	
10:26:03 135	-20	14087	
