Time  	KZ11W:	KZ11C:	SD13L:
11:33:07 75.3	15.9	1896	
11:33:08 75.4	15.9	1901	
11:33:10 75.8	15.9	2519	
11:33:11 76.6	15.9	2460	
11:33:12 77.8	15.9	2991	
11:33:13 78.1	15.9	2099	
11:33:14 78.0	15.9	1670	
11:33:15 77.7	15.9	1337	
11:33:16 78.4	15.8	1789	
11:33:17 78.2	15.8	1577	
11:33:18 78.0	15.8	1398	
11:33:19 77.7	15.8	1561	
11:33:21 77.6	15.8	1308	
11:33:22 77.5	15.8	1422	
11:33:23 77.4	15.8	1583	
11:33:24 77.4	15.8	1411	
11:33:25 77.4	15.8	860	
11:33:26 77.5	15.8	781	
11:33:27 77.3	15.8	1006	
11:33:28 77.5	15.8	1324	
11:33:29 77.7	15.7	1393	
11:33:30 77.8	15.7	1813	
11:33:32 77.8	15.7	1479	
11:33:33 77.8	15.7	1688	
11:33:34 77.8	15.7	2093	
11:33:35 77.7	15.7	1548	
11:33:36 77.7	15.7	1665	
11:33:37 77.6	15.7	1813	
11:33:38 77.5	15.7	1685	
11:33:39 77.5	15.7	1697	
11:33:40 77.5	15.7	1919	
11:33:42 57.8	15.7	1804	
11:33:43 32.9	15.7	1745	
11:33:44 20.8	15.7	1379	
11:33:45 61.9	15.7	1764	
11:33:46 78.9	15.7	1819	
11:33:47 82.2	15.7	1798	
11:33:48 83.7	15.7	1581	
11:33:49 84.8	15.6	1556	
11:33:50 86.1	15.6	1380	
11:33:51 87.0	15.6	1211	
11:33:53 87.4	15.6	1487	
11:33:54 87.4	15.6	1383	
11:33:55 88.0	15.6	1140	
11:33:56 88.7	15.6	1660	
11:33:57 88.0	15.6	1904	
11:33:58 87.6	15.6	1182	
11:33:59 87.7	15.6	1175	
11:34:00 87.9	15.6	1105	
11:34:01 88.4	15.6	1217	
11:34:02 88.4	15.5	1365	
11:34:04 88.5	15.5	1355	
11:34:05 88.6	15.5	1379	
11:34:06 88.6	15.5	982	
11:34:07 88.6	15.5	976	
11:34:08 88.6	15.5	665	
11:34:09 88.6	15.5	922	
11:34:10 88.7	15.5	1148	
11:34:11 88.8	15.5	1444	
11:34:12 89.0	15.5	2214	
11:34:13 89.1	15.5	1971	
11:34:15 89.3	15.5	2104	
11:34:16 89.6	15.5	2227	
11:34:17 89.8	15.5	2202	
11:34:18 90.3	15.5	2019	
