Time  	KZ11W:	KZ11C:	SD13L:
11:38:29 135.0	13.9	13333	
11:38:30 135.1	13.8	13356	
11:38:31 135.3	13.8	13349	
11:38:32 135.4	13.8	13334	
11:38:33 135.7	13.8	13426	
11:38:34 136.0	13.8	13463	
11:38:35 136.7	13.8	13496	
11:38:36 137.1	13.8	13505	
11:38:38 136.9	13.8	13509	
11:38:39 137.1	13.7	13522	
11:38:40 138.1	13.7	13528	
11:38:41 137.8	13.7	13549	
11:38:42 138.2	13.7	13538	
11:38:43 138.2	13.7	13559	
11:38:44 138.3	13.7	13568	
11:38:45 138.3	13.7	13584	
11:38:46 138.5	13.7	13604	
11:38:48 138.6	13.6	13617	
11:38:49 138.5	13.6	13582	
11:38:50 138.5	13.6	13612	
11:38:51 138.4	13.6	13614	
11:38:52 138.3	13.6	13637	
11:38:53 138.4	13.6	13648	
11:38:54 138.4	13.6	13680	
11:38:55 138.6	13.6	13695	
11:38:56 138.7	13.5	13686	
11:38:57 138.9	13.5	13707	
11:38:59 139.2	13.5	13702	
11:39:00 139.3	13.5	13744	
11:39:01 139.5	13.5	13762	
11:39:02 140.0	13.5	13748	
11:39:03 140.3	13.5	13777	
11:39:04 140.1	13.5	13786	
11:39:05 140.2	13.5	13818	
11:39:06 140.3	13.5	13827	
11:39:07 140.5	13.5	13838	
11:39:08 140.6	13.5	13832	
11:39:10 140.8	13.4	13858	
11:39:11 141.0	13.4	13862	
11:39:12 141.0	13.4	13887	
11:39:13 141.2	13.4	13900	
11:39:14 141.2	13.4	13907	
11:39:15 141.3	13.4	13901	
11:39:16 141.4	13.4	13921	
11:39:17 141.5	13.4	13933	
11:39:18 141.5	13.4	13963	
11:39:19 141.6	13.4	13977	
11:39:21 141.6	13.3	13986	
11:39:22 141.7	13.3	13992	
11:39:23 141.7	13.3	14019	
11:39:24 141.8	13.3	14011	
11:39:25 141.9	13.3	14035	
11:39:26 142.0	13.3	14043	
11:39:27 142.3	13.3	14063	
11:39:28 142.5	13.3	14074	
11:39:29 142.7	13.3	14091	
11:39:30 142.9	13.3	14101	
