Time  	KZ11W:	KZ11C:	SD13L:
11:40:06 0.7	13	14533	
11:40:07 0.6	13	14549	
11:40:08 0.9	13	14561	
11:40:09 1.0	13	14576	
11:40:10 1.1	13	14586	
11:40:11 1.3	13	14600	
11:40:13 1.4	13	14607	
11:40:14 1.6	12.9	14604	
11:40:15 1.8	13	14612	
11:40:16 2.0	12.9	14619	
11:40:17 2.5	12.9	14635	
11:40:18 2.1	12.9	14651	
11:40:19 1.7	12.9	14676	
11:40:20 1.4	12.9	14686	
11:40:21 1.1	12.9	14700	
11:40:23 1.0	12.9	14709	
11:40:24 0.7	12.9	14726	
11:40:25 0.5	12.9	14736	
11:40:26 0.7	12.9	14751	
11:40:27 0.7	12.9	14760	
11:40:28 0.8	12.9	14772	
11:40:29 0.8	12.8	14786	
11:40:30 0.8	12.8	14797	
11:40:31 0.8	12.8	14812	
11:40:32 0.8	12.8	14822	
11:40:34 0.7	12.8	14840	
11:40:35 0.7	12.8	14852	
11:40:36 0.8	12.8	14847	
11:40:37 0.8	12.8	14839	
11:40:38 0.6	12.7	14877	
11:40:39 0.4	12.7	14890	
11:40:40 0.3	12.7	14875	
11:40:41 0.3	12.7	14895	
11:40:42 0.4	12.7	14940	
11:40:43 0.6	12.7	14961	
11:40:45 0.7	12.7	14974	
11:40:46 0.8	12.7	14993	
11:40:47 1.0	12.7	15004	
11:40:48 1.1	12.6	15023	
11:40:49 1.1	12.6	15035	
11:40:50 1.0	12.6	15049	
11:40:51 0.7	12.6	15068	
11:40:52 0.7	12.6	15082	
11:40:53 0.7	12.6	15102	
11:40:54 0.7	12.6	15117	
11:40:56 0.7	12.6	15136	
11:40:57 0.7	12.5	15148	
11:40:58 0.7	12.5	15135	
11:40:59 0.7	12.5	15176	
11:41:00 0.8	12.5	15204	
11:41:01 1.0	12.5	15218	
11:41:02 1.2	12.5	15230	
11:41:03 1.4	12.4	15252	
11:41:04 1.6	12.4	15264	
