Time  	KZ11W:	KZ11C:	SD13L:
11:41:36 7.4	12.2	15761	
11:41:37 7.5	12.2	15747	
11:41:39 6.9	12.2	15750	
11:41:40 6.9	12.2	15832	
11:41:41 6.7	12.2	15851	
11:41:42 6.5	12.2	15878	
11:41:43 6.5	12.2	15893	
11:41:44 6.5	12.2	15921	
11:41:45 6.3	12.1	15927	
11:41:46 6.4	12.1	15897	
11:41:47 6.3	12.1	15917	
11:41:49 6.2	12.1	15955	
11:41:50 6.3	12.1	16008	
11:41:51 6.3	12.1	16028	
11:41:52 6.2	12.1	16021	
11:41:53 6.1	12.1	16028	
11:41:54 6.1	12.1	16035	
11:41:55 6.1	12.1	16046	
11:41:56 6.1	12.1	16069	
11:41:57 6.2	12.1	16087	
11:41:58 6.2	12.1	16114	
11:42:00 6.2	12.1	16130	
11:42:01 6.1	12.1	16160	
11:42:02 6.1	12.1	16176	
11:42:03 6.1	12.1	16204	
11:42:04 6.1	12	16223	
11:42:05 6.1	12	16243	
11:42:06 6.2	12	16273	
11:42:07 6.1	12	16290	
11:42:08 6.1	12	16304	
11:42:09 6.1	12	16324	
11:42:11 6.0	12	16332	
11:42:12 6.1	12	16352	
11:42:13 6.2	12	16373	
11:42:14 6.2	12	16411	
11:42:15 6.2	12	16507	
11:42:16 6.2	12	16581	
11:42:17 6.2	12	16603	
11:42:18 6.2	12	16629	
11:42:19 6.1	12	16651	
11:42:20 6.1	12	16686	
11:42:22 6.2	12	16704	
11:42:23 6.2	12	16737	
11:42:24 6.2	12	16757	
11:42:25 6.2	12	16790	
11:42:26 6.2	12	16804	
11:42:27 6.1	12	16798	
11:42:28 6.2	12	16839	
11:42:29 6.1	12	16879	
11:42:30 6.1	11.9	16839	
11:42:31 6.1	11.9	16872	
11:42:33 6.1	11.9	16892	
11:42:34 6.1	11.9	16910	
11:42:35 6.1	11.9	16942	
11:42:36 6.1	11.9	16921	
