Time  	KZ11W:	KZ11C:	SD13L:
09:55:21 317.2	16	26122	
09:55:22 317.3	16	26151	
09:55:23 317.4	16	26154	
09:55:24 317.5	16	26163	
09:55:25 317.6	16	26168	
09:55:26 317.7	16	26184	
09:55:27 317.7	16	26189	
09:55:29 317.8	15.9	26187	
09:55:30 317.9	15.9	26192	
09:55:31 318.0	15.9	26201	
09:55:32 318.1	15.9	26230	
09:55:33 318.3	15.9	26218	
09:55:34 318.4	15.9	26217	
09:55:35 318.5	15.9	26252	
09:55:36 318.5	15.9	26242	
09:55:37 318.6	15.9	26240	
09:55:38 318.7	15.8	26240	
09:55:40 318.8	15.8	26282	
09:55:41 318.8	15.8	26278	
09:55:42 318.6	15.8	26291	
09:55:43 318.6	15.8	26292	
09:55:44 318.6	15.8	26266	
09:55:45 318.6	15.8	26298	
09:55:46 318.6	15.8	26289	
09:55:47 318.5	15.8	26325	
09:55:48 318.5	15.7	26290	
09:55:49 318.4	15.7	26266	
09:55:51 318.4	15.7	26299	
09:55:52 318.4	15.7	26302	
09:55:53 318.2	15.7	26287	
09:55:54 318.0	15.7	26324	
09:55:55 318.0	15.7	26315	
09:55:56 317.9	15.7	26309	
09:55:57 317.8	15.7	26295	
09:55:58 317.9	15.7	26306	
09:55:59 317.7	15.6	26308	
09:56:00 317.5	15.6	26321	
09:56:02 317.4	15.6	26327	
09:56:03 317.3	15.6	26312	
09:56:04 317.3	15.6	26321	
09:56:05 317.3	15.6	26300	
09:56:06 317.2	15.6	26335	
09:56:07 317.1	15.6	26319	
09:56:08 317.1	15.6	26328	
09:56:09 317.1	15.6	26325	
09:56:10 317.2	15.6	26336	
09:56:12 317.2	15.6	26349	
09:56:13 317.3	15.6	26358	
09:56:14 317.3	15.5	26343	
09:56:15 317.4	15.5	26362	
09:56:16 317.4	15.5	26378	
09:56:17 317.5	15.5	26371	
09:56:18 317.6	15.5	26369	
09:56:19 317.8	15.5	26389	
09:56:20 318.0	15.5	26357	
09:56:21 318.0	15.5	26378	
09:56:23 318.1	15.5	26373	
09:56:24 318.1	15.5	26370	
09:56:25 318.1	15.5	26390	
09:56:26 318.1	15.5	26369	
09:56:27 318.1	15.5	26378	
09:56:28 318.1	15.5	26376	
09:56:29 318.0	15.5	26397	
09:56:30 317.9	15.5	26396	
09:56:31 317.9	15.5	26414	
09:56:32 318.1	15.5	26406	
09:56:34 318.1	15.5	26403	
09:56:35 318.1	15.4	26429	
09:56:36 318.1	15.4	26462	
09:56:37 318.2	15.4	26437	
09:56:38 318.3	15.4	26456	
09:56:39 318.4	15.4	26438	
09:56:40 318.6	15.4	26446	
09:56:41 318.7	15.4	26464	
09:56:42 318.7	15.4	26458	
09:56:44 318.7	15.4	26454	
09:56:45 318.8	15.4	26439	
09:56:46 318.8	15.4	26475	
09:56:47 318.8	15.4	26479	
09:56:48 319.0	15.4	26447	
09:56:49 319.2	15.4	26458	
09:56:50 319.3	15.4	26497	
09:56:51 319.4	15.4	26492	
09:56:52 319.5	15.4	26482	
09:56:53 319.5	15.4	26499	
09:56:55 319.6	15.4	26474	
09:56:56 319.7	15.4	26485	
09:56:57 319.7	15.4	26448	
09:56:58 319.8	15.4	26489	
09:56:59 319.9	15.3	26467	
09:57:00 319.9	15.3	26477	
09:57:01 319.9	15.3	26472	
09:57:02 319.9	15.3	26494	
09:57:03 320.0	15.3	26511	
09:57:04 320.0	15.3	26511	
09:57:06 320.0	15.3	26500	
09:57:07 320.1	15.3	26517	
09:57:08 320.2	15.3	26504	
09:57:09 320.2	15.3	26505	
09:57:10 320.2	15.3	26533	
09:57:11 320.2	15.3	26526	
09:57:12 320.2	15.3	26514	
09:57:13 320.2	15.3	26526	
09:57:14 320.2	15.3	26550	
09:57:15 320.3	15.3	26547	
09:57:17 320.3	15.3	26536	
09:57:18 320.3	15.3	26553	
09:57:19 320.3	15.3	26571	
09:57:20 320.2	15.3	26589	
09:57:21 320.3	15.3	26576	
09:57:22 320.5	15.3	26602	
09:57:23 320.6	15.2	26589	
09:57:24 320.8	15.2	26589	
09:57:25 321.0	15.2	26618	
09:57:27 321.0	15.2	26613	
09:57:28 321.1	15.2	26561	
09:57:29 321.2	15.2	26589	
09:57:30 321.4	15.2	26615	
09:57:31 321.7	15.2	26610	
09:57:32 321.8	15.2	26603	
09:57:33 322.0	15.2	26623	
09:57:34 322.1	15.2	26624	
09:57:35 322.0	15.2	26638	
09:57:36 322.0	15.2	26666	
09:57:38 322.2	15.2	26651	
09:57:39 322.4	15.2	26635	
09:57:40 322.6	15.1	26671	
09:57:41 322.6	15.1	26680	
09:57:42 322.7	15.1	26664	
09:57:43 322.6	15.1	26706	
09:57:44 322.6	15.1	26676	
09:57:45 322.8	15.1	26689	
09:57:46 322.9	15.1	26690	
09:57:47 323.0	15.1	26706	
09:57:49 323.1	15.1	26698	
09:57:50 323.2	15.1	26725	
09:57:51 323.3	15.1	26746	
09:57:52 323.3	15.1	26724	
09:57:53 323.4	15.1	26748	
09:57:54 323.6	15.1	26726	
09:57:55 323.9	15.1	26745	
09:57:56 323.8	15.1	26741	
09:57:57 323.6	15	26748	
09:57:59 323.6	15	26741	
09:58:00 323.7	15	26746	
09:58:01 323.7	15	26745	
09:58:02 323.7	15	26748	
09:58:03 323.6	15	26738	
09:58:04 323.5	15	26748	
09:58:05 323.5	15	26749	
09:58:06 323.3	15	26756	
09:58:07 323.1	15	26773	
09:58:08 323.0	15	26751	
09:58:10 323.1	15	26741	
09:58:11 323.1	15	26754	
09:58:12 322.9	15	26752	
09:58:13 322.8	15	26781	
09:58:14 322.8	15	26739	
09:58:15 322.9	15	26786	
09:58:16 322.9	15	26767	
09:58:17 323.0	15	26798	
09:58:18 323.0	15	26775	
09:58:19 323.1	15	26775	
09:58:21 323.1	15	26791	
09:58:22 323.2	15	26783	
09:58:23 323.2	15	26799	
09:58:24 323.3	15	26821	
09:58:25 323.3	14.9	26808	
09:58:26 323.4	14.9	26807	
09:58:27 323.4	14.9	26834	
09:58:28 323.5	14.9	26829	
09:58:29 323.6	14.9	26836	
09:58:30 323.6	14.9	26845	
09:58:32 323.6	14.9	26860	
09:58:33 323.7	14.9	26878	
09:58:34 323.7	14.9	26885	
09:58:35 323.8	14.9	26903	
09:58:36 324.0	14.9	26907	
09:58:37 324.1	14.9	26940	
09:58:38 324.4	14.9	26922	
09:58:39 324.5	14.9	26919	
09:58:40 324.6	14.9	26907	
09:58:41 324.7	14.9	26935	
09:58:43 324.8	14.9	26920	
09:58:44 324.9	14.9	26953	
09:58:45 324.9	14.9	26981	
09:58:46 325.1	14.8	26999	
09:58:47 325.2	14.8	27018	
09:58:48 325.2	14.8	26975	
09:58:49 325.4	14.8	26994	
09:58:50 325.5	14.8	27046	
09:58:51 325.6	14.8	27013	
09:58:53 325.8	14.8	27031	
09:58:54 325.9	14.8	27060	
09:58:55 326.0	14.8	27027	
09:58:56 326.1	14.8	27051	
09:58:57 326.1	14.8	27031	
09:58:58 326.2	14.8	27032	
09:58:59 326.3	14.8	27072	
09:59:00 326.3	14.8	27132	
09:59:01 326.4	14.8	27108	
09:59:02 326.5	14.8	27119	
09:59:04 326.7	14.8	27125	
09:59:05 326.8	14.8	27122	
09:59:06 326.8	14.8	27128	
09:59:07 326.9	14.8	27129	
09:59:08 327.0	14.8	27153	
09:59:09 327.1	14.8	27142	
09:59:10 327.3	14.8	27136	
09:59:11 327.5	14.8	27146	
09:59:12 327.5	14.8	27167	
09:59:14 327.6	14.7	27170	
09:59:15 327.8	14.7	27196	
09:59:16 328.0	14.7	27188	
09:59:17 328.1	14.7	27208	
09:59:18 328.1	14.7	27228	
09:59:19 328.2	14.7	27220	
09:59:20 328.3	14.7	27227	
09:59:21 328.3	14.7	27264	
09:59:22 328.4	14.7	27247	
09:59:23 328.3	14.7	27263	
09:59:25 328.5	14.7	27244	
09:59:26 328.6	14.7	27257	
09:59:27 328.6	14.7	27288	
09:59:28 328.7	14.7	27292	
09:59:29 328.9	14.7	27284	
09:59:30 329.0	14.7	27280	
09:59:31 329.2	14.7	27306	
09:59:32 329.3	14.7	27324	
09:59:33 329.3	14.7	27313	
09:59:34 329.4	14.7	27327	
09:59:36 329.5	14.7	27327	
09:59:37 329.6	14.7	27308	
09:59:38 329.8	14.6	27331	
09:59:39 329.8	14.6	27290	
09:59:40 329.9	14.6	27309	
09:59:41 329.8	14.6	27340	
09:59:42 329.9	14.6	27341	
09:59:43 329.9	14.6	27338	
09:59:44 329.8	14.6	27342	
09:59:45 329.8	14.6	27332	
09:59:47 329.9	14.6	27350	
09:59:48 329.9	14.6	27350	
09:59:49 330.0	14.6	27358	
09:59:50 330.0	14.6	27358	
09:59:51 329.9	14.6	27374	
09:59:52 330.0	14.6	27368	
09:59:53 330.0	14.6	27381	
09:59:54 330.1	14.5	27371	
09:59:55 330.1	14.5	27412	
09:59:57 330.2	14.5	27402	
09:59:58 330.2	14.5	27378	
09:59:59 330.2	14.5	27409	
10:00:00 330.1	14.5	27409	
10:00:01 330.1	14.5	27391	
10:00:02 330.2	14.5	27399	
10:00:03 330.3	14.5	27440	
10:00:04 330.3	14.5	27400	
10:00:05 330.4	14.5	27435	
10:00:06 330.4	14.5	27440	
10:00:08 330.4	14.5	27416	
10:00:09 330.4	14.5	27434	
10:00:10 330.5	14.5	27442	
10:00:11 330.5	14.5	27450	
10:00:12 330.5	14.5	27460	
10:00:13 330.5	14.5	27462	
10:00:14 330.5	14.4	27457	
10:00:15 330.6	14.4	27467	
10:00:16 330.7	14.4	27476	
10:00:17 330.7	14.4	27487	
10:00:19 330.8	14.4	27486	
10:00:20 330.8	14.4	27482	
10:00:21 330.7	14.4	27484	
10:00:22 330.8	14.4	27504	
10:00:23 330.9	14.4	27472	
