Time  	KZ11W:	KZ11C:	SD13L:
10:32:55 100.2	12.7	1976	
10:32:56 100.2	12.7	1975	
10:32:57 100.1	12.7	1980	
10:32:58 100.1	12.7	1981	
10:32:59 100.2	12.7	1981	
10:33:00 100.2	12.7	1980	
10:33:01 100.2	12.7	1981	
10:33:02 100.3	12.7	1980	
10:33:04 100.2	12.7	1928	
10:33:05 99.7	12.7	1907	
10:33:06 99.1	12.7	1919	
10:33:07 99.4	12.7	1969	
10:33:08 99.5	12.7	1969	
10:33:09 99.5	12.7	1971	
10:33:10 99.7	12.7	1974	
10:33:11 99.9	12.7	1979	
10:33:12 100.7	12.7	2020	
10:33:13 101.6	12.7	2031	
10:33:15 101.8	12.7	2037	
10:33:16 102.0	12.7	2038	
10:33:17 102.0	12.7	2039	
10:33:18 102.0	12.7	2040	
10:33:19 102.1	12.7	2039	
10:33:20 102.2	12.7	2039	
10:33:21 102.2	12.7	2039	
10:33:22 102.2	12.7	2039	
10:33:23 102.2	12.7	2038	
10:33:24 102.2	12.7	2039	
10:33:26 102.1	12.7	2038	
10:33:27 102.1	12.7	2037	
10:33:28 102.1	12.7	2037	
10:33:29 102.1	12.7	2038	
10:33:30 102.0	12.7	2038	
10:33:31 102.0	12.7	2038	
10:33:32 102.0	12.7	2037	
10:33:33 102.0	12.7	2037	
10:33:34 101.9	12.7	2038	
10:33:35 101.9	12.7	2039	
10:33:37 101.9	12.7	2039	
10:33:38 101.9	12.7	2039	
10:33:39 101.9	12.7	2040	
10:33:40 101.8	12.7	2040	
10:33:41 101.8	12.7	2040	
10:33:42 101.8	12.7	2040	
10:33:43 101.7	12.7	2040	
10:33:44 101.7	12.7	2040	
10:33:45 101.6	12.7	2040	
10:33:46 101.6	12.7	2040	
10:33:48 101.6	12.7	2040	
10:33:49 101.6	12.7	2040	
10:33:50 101.5	12.7	2040	
10:33:51 101.4	12.7	2040	
10:33:52 101.4	12.7	2040	
10:33:53 101.4	12.7	2040	
10:33:54 101.4	12.7	2040	
10:33:55 101.5	12.7	2040	
10:33:56 101.5	12.7	2040	
10:33:58 101.5	12.7	2040	
10:33:59 101.6	12.7	2040	
10:34:00 101.5	12.7	2040	
10:34:01 101.5	12.7	2041	
10:34:02 101.6	12.7	2042	
10:34:03 101.6	12.7	2042	
10:34:04 101.6	12.7	2042	
10:34:05 101.6	12.7	2042	
10:34:06 101.5	12.7	2041	
10:34:08 101.5	12.7	2042	
10:34:09 101.5	12.7	2042	
10:34:10 101.5	12.7	2041	
10:34:11 101.4	12.7	2041	
10:34:12 101.4	12.7	2042	
10:34:13 101.4	12.7	2042	
10:34:14 101.4	12.7	2042	
10:34:15 101.4	12.7	2042	
10:34:16 101.4	12.8	2042	
10:34:17 101.3	12.8	2042	
10:34:19 101.3	12.8	2042	
10:34:20 101.3	12.8	2042	
10:34:21 101.4	12.8	2042	
10:34:22 101.5	12.8	2041	
10:34:23 101.6	12.8	2042	
10:34:24 101.7	12.8	2042	
10:34:25 101.8	12.8	2042	
10:34:26 101.8	12.8	2042	
10:34:27 101.8	12.8	2043	
10:34:28 101.9	12.8	2043	
10:34:30 101.9	12.8	2044	
10:34:31 101.9	12.8	2044	
10:34:32 102.0	12.8	2045	
10:34:33 102.0	12.8	2043	
10:34:34 102.0	12.8	2043	
10:34:35 102.0	12.8	2043	
10:34:36 102.0	12.8	2043	
10:34:37 102.0	12.8	2043	
10:34:38 102.0	12.8	2043	
10:34:40 102.1	12.8	2043	
10:34:41 102.1	12.8	2043	
10:34:42 102.1	12.8	2043	
10:34:43 102.1	12.8	2044	
10:34:44 102.0	12.8	2044	
10:34:45 101.9	12.8	2043	
10:34:46 101.9	12.8	2043	
10:34:47 101.9	12.8	2043	
10:34:48 101.9	12.8	2044	
