Time  	KZ11W:	KZ11C:	SD13L:
10:51:27 57.5	14.4	7413	
10:51:28 57.4	14.4	7407	
10:51:29 57.4	14.4	7426	
10:51:30 57.3	14.4	7433	
10:51:31 57.2	14.4	7440	
10:51:32 57.2	14.4	7451	
10:51:33 57.2	14.3	7436	
10:51:34 57.1	14.3	7428	
10:51:36 57.1	14.3	7439	
10:51:37 57.2	14.3	7472	
10:51:38 57.2	14.3	7477	
10:51:39 57.2	14.3	7463	
10:51:40 57.3	14.3	7455	
10:51:41 57.3	14.3	7468	
10:51:42 57.3	14.3	7448	
10:51:43 57.3	14.3	7463	
10:51:44 57.3	14.3	7465	
10:51:45 57.2	14.3	7451	
10:51:47 57.1	14.3	7445	
10:51:48 57.1	14.3	7434	
10:51:49 57.0	14.3	7421	
10:51:50 56.9	14.3	7421	
10:51:51 56.9	14.2	7439	
10:51:52 56.9	14.2	7434	
10:51:53 56.9	14.2	7445	
10:51:54 57.0	14.2	7451	
10:51:55 57.0	14.2	7474	
10:51:56 57.1	14.2	7474	
10:51:58 57.2	14.2	7463	
10:51:59 57.2	14.2	7445	
10:52:00 57.2	14.2	7455	
10:52:01 57.2	14.2	7449	
10:52:02 57.1	14.2	7471	
10:52:03 57.1	14.2	7470	
10:52:04 57.1	14.2	7474	
10:52:05 57.1	14.2	7482	
10:52:06 57.1	14.2	7455	
10:52:07 57.2	14.2	7456	
10:52:09 57.2	14.2	7451	
10:52:10 57.2	14.1	7442	
10:52:11 57.2	14.1	7439	
10:52:12 57.2	14.1	7449	
10:52:13 57.3	14.1	7459	
10:52:14 57.5	14.1	7465	
10:52:15 57.6	14.1	7465	
10:52:16 57.7	14.1	7460	
10:52:17 57.8	14.1	7451	
10:52:18 57.9	14.1	7460	
10:52:20 58.0	14.1	7492	
10:52:21 58.1	14.1	7510	
10:52:22 58.4	14.1	7503	
10:52:23 58.6	14.1	7501	
10:52:24 58.7	14.1	7513	
10:52:25 58.8	14.1	7498	
10:52:26 58.8	14.1	7479	
10:52:27 58.7	14	7465	
10:52:28 58.9	14	7458	
10:52:30 59.1	14	7457	
10:52:31 59.2	14	7463	
10:52:32 59.2	14	7476	
10:52:33 59.3	14	7473	
10:52:34 59.4	14	7448	
10:52:35 59.4	14	7465	
10:52:36 59.3	13.9	7503	
10:52:37 59.3	13.9	7504	
10:52:38 59.2	13.9	7480	
10:52:39 59.1	13.9	7487	
10:52:40 59.0	13.9	7477	
10:52:42 58.8	13.9	7471	
10:52:43 58.6	13.9	7467	
10:52:44 58.5	13.9	7475	
10:52:45 58.5	13.9	7492	
10:52:46 58.5	13.9	7508	
10:52:47 58.6	13.9	7507	
10:52:48 58.6	13.8	7494	
10:52:49 58.6	13.8	7483	
10:52:50 58.5	13.8	7483	
10:52:51 58.5	13.8	7481	
10:52:53 58.4	13.8	7501	
10:52:54 58.5	13.8	7505	
10:52:55 58.6	13.8	7504	
10:52:56 58.5	13.8	7476	
10:52:57 58.4	13.8	7456	
10:52:58 58.3	13.8	7474	
10:52:59 58.3	13.8	7479	
10:53:00 58.4	13.8	7518	
10:53:01 58.4	13.7	7514	
10:53:02 58.4	13.7	7516	
10:53:04 58.3	13.7	7494	
10:53:05 58.3	13.7	7492	
10:53:06 58.2	13.7	7474	
10:53:07 58.1	13.7	7484	
10:53:08 58.1	13.7	7512	
10:53:09 58.1	13.7	7498	
10:53:10 58.0	13.7	7489	
10:53:11 58.0	13.7	7488	
10:53:12 58.0	13.7	7478	
10:53:14 57.9	13.7	7471	
10:53:15 57.9	13.7	7474	
10:53:16 57.8	13.7	7468	
10:53:17 57.8	13.7	7439	
10:53:18 57.8	13.7	7458	
10:53:19 57.8	13.7	7457	
10:53:20 57.9	13.7	7468	
10:53:21 58.0	13.7	7503	
10:53:22 58.1	13.6	7488	
10:53:23 58.1	13.6	7495	
10:53:25 58.1	13.6	7519	
10:53:26 58.3	13.6	7565	
10:53:27 58.3	13.6	7539	
10:53:28 58.4	13.6	7525	
10:53:29 58.5	13.6	7522	
10:53:30 58.5	13.6	7489	
10:53:31 58.5	13.6	7501	
10:53:32 58.5	13.6	7501	
10:53:33 58.6	13.6	7525	
10:53:34 58.6	13.6	7540	
10:53:36 58.6	13.6	7527	
10:53:37 58.7	13.6	7507	
10:53:38 58.7	13.6	7485	
10:53:39 58.7	13.6	7477	
10:53:40 171.0	13.6	15470	
10:53:41 314.2	13.6	39088	
10:53:42 343.3	13.6	39131	
