Time  	KZ11W:	KZ11C:	SD13L:
11:34:54 31.3	15.7	4900	
11:34:55 34.5	15.7	4890	
11:34:56 37.0	15.7	4879	
11:34:57 38.1	15.7	4903	
11:34:58 37.7	15.7	4891	
11:34:59 35.8	15.7	4910	
11:35:00 38.4	15.7	4885	
11:35:01 33.8	15.7	4892	
11:35:02 35.6	15.7	4884	
11:35:03 36.5	15.7	4872	
11:35:05 33.1	15.7	4875	
11:35:06 35.5	15.7	4869	
11:35:07 30.1	15.6	4840	
11:35:08 39.4	15.6	4864	
11:35:09 36.6	15.6	4890	
11:35:10 31.4	15.6	4877	
11:35:11 33.7	15.6	4890	
11:35:12 37.6	15.6	4879	
11:35:13 34.2	15.6	4866	
11:35:14 34.0	15.6	4861	
11:35:16 34.0	15.6	4864	
11:35:17 34.6	15.6	4846	
11:35:18 41.2	15.6	4857	
11:35:19 34.1	15.6	4850	
11:35:20 35.4	15.6	4849	
11:35:21 35.1	15.6	4843	
11:35:22 32.0	15.6	4832	
11:35:23 37.6	15.6	4811	
11:35:24 40.6	15.6	4822	
11:35:26 36.3	15.6	4949	
11:35:27 33.3	15.5	4883	
11:35:28 60.6	15.5	4920	
11:35:29 89.6	15.5	4932	
11:35:30 227.6	15.5	4916	
11:35:31 286.9	15.5	4965	
11:35:32 305.1	15.5	4914	
11:35:33 320.9	15.5	4878	
11:35:34 334.2	15.6	4886	
11:35:35 342.0	15.5	4909	
11:35:37 346.2	15.5	4926	
11:35:38 351.0	15.5	4920	
11:35:39 357.1	15.5	4912	
11:35:40 359.6	15.5	4922	
11:35:41 365.7	15.5	4926	
11:35:42 371.8	15.5	4894	
11:35:43 374.6	15.5	4899	
11:35:44 375.7	15.5	4893	
11:35:45 380.3	15.5	4895	
11:35:46 384.4	15.5	4887	
11:35:48 386.7	15.5	4880	
11:35:49 390.3	15.5	4882	
11:35:50 393.4	15.5	4884	
11:35:51 395.9	15.5	4890	
11:35:52 396.2	15.5	4891	
