Time  	KZ11W:	KZ11C:	SD13L:
11:42:00 80.5	15.1	27291	
11:42:01 79.1	15.1	46929	
11:42:02 78.3	15.1	47002	
11:42:03 157.3	15.1	46715	
11:42:04 324.3	15.1	46623	
11:42:05 395.3	15.1	46580	
11:42:06 428.4	15.1	41273	
11:42:07 455.0	15.1	7121	
11:42:08 437.3	15.1	22757	
11:42:10 444.1	15.1	47798	
11:42:11 468.1	15.1	47792	
11:42:12 460.5	15.1	47939	
11:42:13 458.6	15.1	47541	
11:42:14 454.3	15.1	46458	
11:42:15 457.7	15.2	46733	
11:42:16 464.6	15.2	45766	
11:42:17 477.1	15.2	6872	
11:42:18 485.0	15.2	6919	
11:42:20 476.9	15.2	6990	
11:42:21 280.0	15.2	7093	
11:42:22 312.1	15.2	7152	
11:42:23 180.2	15.2	7135	
11:42:24 129.2	15.1	7115	
11:42:25 112.8	15.1	7123	
11:42:26 100.8	15.1	7106	
11:42:27 90.7	15.1	7111	
11:42:28 83.5	15.1	7130	
11:42:29 77.5	15.1	7121	
11:42:31 72.4	15.1	7109	
11:42:32 68.6	15.1	7108	
11:42:33 65.3	15.1	7102	
11:42:34 62.2	15.1	7084	
11:42:35 60.5	15	7113	
11:42:36 58.8	15	7090	
11:42:37 57.6	15	7093	
11:42:38 56.1	15	7087	
11:42:39 54.9	15	7081	
11:42:41 54.1	15	7075	
11:42:42 53.4	15	7080	
11:42:43 53.1	15	7072	
11:42:44 53.8	15	7084	
11:42:45 53.3	14.9	7076	
11:42:46 53.8	14.9	7084	
11:42:47 54.0	14.9	7093	
11:42:48 53.9	14.9	7098	
11:42:49 54.5	14.9	7100	
11:42:50 54.9	14.9	7096	
11:42:52 56.0	14.9	7099	
11:42:53 55.6	14.9	7098	
11:42:54 58.0	14.8	7111	
11:42:55 56.2	14.8	7119	
11:42:56 56.5	14.8	7114	
11:42:57 57.1	14.8	7123	
11:42:58 57.4	14.8	7140	
11:42:59 54.3	14.8	7144	
11:43:00 53.0	14.8	7141	
11:43:02 52.7	14.8	7139	
11:43:03 52.6	14.8	7145	
11:43:04 52.5	14.8	7142	
11:43:05 52.8	14.7	7135	
11:43:06 52.3	14.7	7114	
11:43:07 230.3	14.7	26599	
11:43:08 333.5	14.7	47835	
11:43:09 266.5	14.7	46672	
11:43:10 350.4	14.7	48563	
11:43:11 397.4	14.7	48600	
11:43:13 450.0	14.7	48569	
11:43:14 408.4	14.7	48569	
