Time  	KZ11W:	KZ11C:	SD13L:
09:52:56 307.6	16.8	25425	
09:52:57 306.7	16.8	25432	
09:52:59 261.9	16.8	25423	
09:53:00 297.9	16.8	25458	
09:53:01 305.7	16.7	25426	
09:53:02 307.2	16.7	25448	
09:53:03 308.1	16.7	25452	
09:53:04 308.8	16.7	25442	
09:53:05 309.0	16.7	25424	
09:53:06 309.6	16.7	25449	
09:53:07 309.7	16.7	25485	
09:53:08 309.9	16.7	25468	
09:53:10 310.3	16.7	25464	
09:53:11 310.0	16.7	25472	
09:53:12 310.3	16.7	25409	
09:53:13 310.8	16.7	25522	
09:53:14 310.9	16.7	25528	
09:53:15 310.9	16.7	25552	
09:53:16 311.2	16.7	25530	
09:53:17 311.3	16.7	25578	
09:53:18 311.5	16.7	25588	
09:53:20 311.6	16.7	25582	
09:53:21 311.7	16.7	25574	
09:53:22 311.9	16.7	19104	
09:53:23 311.9	16.7	15359	
09:53:24 311.9	16.7	23726	
09:53:25 311.9	16.7	24716	
09:53:26 311.9	16.7	25173	
09:53:27 311.9	16.7	3095	
09:53:28 311.9	16.7	1920	
09:53:29 312.0	16.7	22184	
09:53:31 311.9	16.6	25587	
09:53:32 216.1	16.6	25621	
09:53:33 114.1	16.6	25617	
09:53:34 89.5	16.6	25599	
09:53:35 78.9	16.6	25634	
09:53:36 116.9	16.6	25648	
09:53:37 254.3	16.6	25581	
09:53:38 278.1	16.6	25630	
09:53:39 286.3	16.6	25623	
09:53:40 291.9	16.6	25640	
09:53:42 296.2	16.6	25637	
09:53:43 299.6	16.6	25626	
09:53:44 302.5	16.5	25620	
09:53:45 304.6	16.5	25639	
09:53:46 306.3	16.5	25637	
09:53:47 307.6	16.5	25638	
09:53:48 308.7	16.5	25669	
09:53:49 309.7	16.5	25673	
09:53:50 310.5	16.5	25666	
09:53:52 311.1	16.5	25657	
09:53:53 311.4	16.5	25672	
09:53:54 311.7	16.5	25680	
