Time  	KZ11W:	KZ11C:	SD13L:
11:01:09 416.3	14.5	40851	
11:01:10 416.3	14.5	40961	
11:01:11 416.3	14.5	40900	
11:01:12 416.4	14.5	40869	
11:01:13 416.3	14.5	40857	
11:01:14 416.3	14.5	40881	
11:01:15 416.3	14.5	40955	
11:01:16 416.4	14.5	40875	
11:01:17 416.5	14.5	40832	
11:01:18 416.4	14.5	40900	
11:01:20 416.3	14.5	40918	
11:01:21 416.3	14.5	40820	
11:01:22 416.2	14.5	40869	
11:01:23 416.2	14.5	40894	
11:01:24 416.2	14.5	40912	
11:01:25 416.1	14.5	40955	
11:01:26 416.1	14.5	40900	
11:01:27 416.2	14.5	40943	
11:01:28 416.2	14.5	40881	
11:01:29 416.1	14.5	40900	
11:01:31 416.1	14.5	40967	
11:01:32 416.1	14.5	40973	
11:01:33 416.1	14.5	40961	
11:01:34 416.1	14.5	40930	
11:01:35 416.1	14.5	40986	
11:01:36 416.1	14.5	40906	
11:01:37 416.0	14.5	40912	
11:01:38 415.7	14.5	40888	
11:01:39 415.5	14.5	40839	
11:01:40 415.4	14.5	40937	
11:01:41 415.2	14.5	40784	
11:01:43 415.0	14.5	40808	
11:01:44 414.9	14.5	40918	
11:01:45 414.9	14.5	40918	
11:01:46 414.9	14.5	40906	
11:01:47 415.0	14.5	41028	
11:01:48 415.2	14.5	40998	
11:01:49 415.3	14.5	40986	
11:01:50 415.5	14.5	40979	
11:01:51 415.6	14.5	41053	
11:01:52 415.7	14.5	41034	
11:01:54 415.8	14.5	40979	
11:01:55 415.9	14.5	41016	
11:01:56 416.0	14.5	41004	
11:01:57 416.2	14.5	41096	
11:01:58 416.6	14.5	41108	
11:01:59 416.7	14.5	41047	
11:02:00 416.7	14.5	41077	
11:02:01 416.8	14.5	41090	
11:02:02 417.0	14.6	41096	
11:02:03 416.9	14.5	41083	
11:02:05 416.9	14.5	41028	
11:02:06 416.8	14.5	41034	
11:02:07 416.8	14.5	41010	
11:02:08 416.8	14.5	41090	
11:02:09 416.8	14.5	41071	
11:02:10 416.9	14.5	41083	
11:02:11 416.9	14.5	41145	
11:02:12 416.9	14.5	41114	
11:02:13 417.0	14.5	41126	
11:02:14 417.0	14.5	41114	
11:02:16 417.0	14.5	41083	
11:02:17 416.8	14.5	41163	
11:02:18 416.8	14.6	41108	
11:02:19 416.8	14.5	41132	
11:02:20 416.8	14.5	41120	
11:02:21 416.8	14.5	41139	
11:02:22 416.8	14.5	41163	
11:02:23 416.8	14.6	41053	
11:02:24 416.8	14.6	41120	
11:02:26 416.8	14.6	41059	
11:02:27 416.6	14.6	41065	
11:02:28 416.5	14.6	41065	
11:02:29 416.4	14.6	41077	
11:02:30 416.5	14.6	41083	
11:02:31 416.6	14.6	41169	
11:02:32 416.7	14.6	41059	
11:02:33 416.6	14.6	41102	
11:02:34 416.4	14.6	40986	
11:02:35 416.4	14.6	41083	
11:02:37 416.4	14.6	41077	
11:02:38 416.5	14.6	41083	
