Time  	KZ11W:	KZ11C:	SD13L:
11:03:13 419.6	14.6	41494	
11:03:15 419.7	14.6	41585	
11:03:16 419.7	14.6	41665	
11:03:17 419.8	14.6	41604	
11:03:18 419.9	14.6	41714	
11:03:19 420.0	14.6	41702	
11:03:20 420.7	14.6	41677	
11:03:21 420.5	14.6	41726	
11:03:22 420.6	14.6	41708	
11:03:23 420.8	14.6	41824	
11:03:24 421.0	14.6	41812	
11:03:26 421.2	14.6	41775	
11:03:27 421.3	14.6	41855	
11:03:28 421.5	14.6	41836	
11:03:29 421.6	14.6	41787	
11:03:30 421.7	14.7	41873	
11:03:31 421.7	14.7	41879	
11:03:32 421.8	14.7	41818	
11:03:33 421.8	14.7	41904	
11:03:34 421.8	14.7	41518	
11:03:36 311.9	14.7	7610	
11:03:37 160.6	14.7	7499	
11:03:38 127.5	14.7	7517	
11:03:39 111.8	14.7	7553	
11:03:40 100.9	14.6	7575	
11:03:41 91.7	14.6	7571	
11:03:42 84.5	14.6	7561	
11:03:43 78.3	14.6	7547	
11:03:44 73.7	14.6	7522	
11:03:45 70.1	14.6	7516	
11:03:47 67.3	14.6	7533	
11:03:48 65.3	14.6	7538	
11:03:49 63.6	14.6	7541	
11:03:50 62.1	14.6	7532	
11:03:51 61.0	14.5	7544	
11:03:52 60.1	14.5	7565	
11:03:53 59.6	14.5	7582	
11:03:54 59.1	14.5	7569	
11:03:55 58.6	14.5	7559	
11:03:56 58.3	14.5	7540	
11:03:58 58.6	14.5	7543	
11:03:59 127.0	14.5	26701	
11:04:00 316.3	14.5	42136	
11:04:01 353.6	14.5	42069	
11:04:02 370.4	14.5	41751	
11:04:03 382.2	14.5	35489	
11:04:04 222.4	14.5	2618	
11:04:05 154.4	14.5	2692	
11:04:06 138.8	14.5	2799	
11:04:07 135.4	14.5	2815	
11:04:09 130.2	14.5	2614	
11:04:10 125.3	14.5	2339	
11:04:11 121.7	14.5	2488	
11:04:12 118.9	14.5	2505	
11:04:13 116.3	14.5	2513	
11:04:14 113.4	14.5	2464	
11:04:15 111.6	14.5	2482	
11:04:16 108.9	14.5	2467	
11:04:17 106.5	14.5	2462	
11:04:18 104.9	14.5	2462	
11:04:20 104.0	14.5	2462	
11:04:21 103.3	14.5	2460	
11:04:22 102.6	14.5	2459	
11:04:23 102.0	14.5	2458	
11:04:24 101.7	14.5	2459	
11:04:25 101.7	14.5	2460	
11:04:26 101.8	14.5	2459	
11:04:27 101.8	14.5	2462	
11:04:28 101.5	14.5	2461	
11:04:29 101.1	14.5	2460	
11:04:31 101.2	14.5	2459	
11:04:32 101.1	14.5	2460	
11:04:33 101.2	14.5	2460	
11:04:34 101.1	14.5	2459	
11:04:35 101.1	14.5	2459	
11:04:36 101.1	14.5	2461	
11:04:37 101.2	14.5	2462	
11:04:38 101.2	14.5	2461	
11:04:39 101.3	14.5	2461	
11:04:40 101.3	14.5	2462	
