Time  	KZ11W:	KZ11C:	SD13L:
11:40:42 99.8	15.4	45833	
11:40:44 98.1	15.4	45809	
11:40:45 91.0	15.4	46188	
11:40:46 80.8	15.4	45931	
11:40:47 233.1	15.4	45607	
11:40:48 335.7	15.4	44995	
11:40:49 337.9	15.4	43893	
11:40:50 375.3	15.4	11535	
11:40:51 401.3	15.4	43226	
11:40:52 313.4	15.5	34424	
11:40:53 332.6	15.5	35427	
11:40:55 152.4	15.5	7540	
11:40:56 114.4	15.4	12067	
11:40:57 101.4	15.4	32167	
11:40:58 92.5	15.4	33434	
11:40:59 84.8	15.4	10915	
11:41:00 78.7	15.4	27040	
11:41:01 73.7	15.4	28018	
11:41:02 69.5	15.4	19243	
11:41:03 66.6	15.4	27126	
11:41:04 64.2	15.4	29706	
11:41:06 62.7	15.3	11193	
11:41:07 60.5	15.3	6913	
11:41:08 59.2	15.3	6943	
11:41:09 60.8	15.3	7076	
11:41:10 58.6	15.3	6953	
11:41:11 87.2	15.3	12815	
11:41:12 200.0	15.3	39942	
11:41:13 335.8	15.3	45570	
11:41:14 448.6	15.3	45778	
11:41:16 379.5	15.3	45564	
11:41:17 398.0	15.3	45650	
11:41:18 429.9	15.3	45735	
