Time  	KZ11W:	KZ11C:	SD13L:
11:06:25 88.2	20	10914	
11:06:26 87.7	20	10828	
11:06:27 86.7	19.9	10770	
11:06:28 86.4	19.9	10686	
11:06:29 85.8	19.9	10630	
11:06:30 85.2	19.9	10550	
11:06:31 84.4	19.9	10496	
11:06:33 83.8	19.9	10417	
11:06:34 83.0	19.9	10367	
11:06:35 82.3	19.9	10291	
11:06:36 81.7	19.9	10241	
11:06:37 81.4	19.8	10194	
11:06:38 80.8	19.8	10123	
11:06:39 80.2	19.8	10076	
11:06:40 79.7	19.8	10009	
11:06:41 79.3	19.8	9965	
11:06:43 78.7	19.8	9901	
11:06:44 77.9	19.8	9859	
11:06:45 77.2	19.8	9798	
11:06:46 77.3	19.8	9759	
11:06:47 76.6	19.8	9700	
11:06:48 76.1	19.8	9663	
11:06:49 75.7	19.8	9607	
11:06:50 75.2	19.7	9571	
11:06:51 74.9	19.7	9518	
11:06:52 74.6	19.7	9483	
11:06:54 74.1	19.7	9449	
11:06:55 73.9	19.7	9398	
11:06:56 73.3	19.7	9365	
11:06:57 73.1	19.7	9316	
11:06:58 73.0	19.7	9284	
11:06:59 72.3	19.7	9236	
11:07:00 72.4	19.7	9204	
11:07:01 72.3	19.7	9155	
11:07:02 72.1	19.7	9124	
11:07:03 71.7	19.6	9078	
11:07:05 71.6	19.6	9048	
11:07:06 71.3	19.6	9001	
11:07:07 70.9	19.6	8970	
11:07:08 70.6	19.6	8924	
11:07:09 70.1	19.6	8895	
11:07:10 70.3	19.6	8850	
11:07:11 69.9	19.6	8820	
11:07:12 69.4	19.6	8775	
11:07:13 69.4	19.6	8745	
11:07:15 69.0	19.6	8717	
11:07:16 68.7	19.5	8673	
11:07:17 68.0	19.5	8646	
11:07:18 67.8	19.5	8604	
11:07:19 67.5	19.5	8576	
11:07:20 67.4	19.5	8536	
11:07:21 67.1	19.5	8511	
11:07:22 66.5	19.5	8473	
11:07:23 66.2	19.5	8447	
11:07:25 65.8	19.5	8411	
11:07:26 65.7	19.5	8388	
11:07:27 65.3	19.5	8354	
11:07:28 65.1	19.4	8333	
11:07:29 64.8	19.4	8301	
11:07:30 64.8	19.4	8282	
11:07:31 64.6	19.4	8254	
11:07:32 64.5	19.4	8236	
11:07:33 64.4	19.4	8210	
11:07:35 64.4	19.4	8180	
11:07:36 64.0	19.4	8165	
11:07:37 63.8	19.4	8158	
11:07:38 63.7	19.4	8146	
11:07:39 63.6	19.4	8127	
11:07:40 63.4	19.4	8116	
11:07:41 63.3	19.4	8102	
11:07:42 63.1	19.3	8093	
11:07:43 63.0	19.3	8081	
11:07:44 62.8	19.3	8074	
11:07:46 62.7	19.3	8065	
11:07:47 62.6	19.3	8059	
