Time  	KZ11W:	KZ11C:	SD13L:
11:07:56 62.1	19.3	8045	
11:07:57 62.1	19.3	8049	
11:07:58 62.2	19.2	8052	
11:07:59 62.2	19.2	8057	
11:08:00 62.2	19.2	8062	
11:08:01 62.2	19.2	8069	
11:08:02 62.3	19.2	8075	
11:08:03 62.3	19.2	8085	
11:08:05 62.3	19.2	8092	
11:08:06 62.4	19.2	8104	
11:08:07 62.4	19.2	8113	
11:08:08 62.4	19.2	8127	
11:08:09 62.5	19.2	8137	
11:08:10 62.6	19.2	8152	
11:08:11 62.7	19.2	8164	
11:08:12 62.8	19.2	8176	
11:08:13 62.9	19.2	8195	
11:08:14 63.0	19.2	8208	
11:08:16 63.2	19.2	8228	
11:08:17 63.3	19.2	8244	
11:08:18 63.4	19.2	8266	
11:08:19 63.6	19.1	8283	
11:08:20 63.8	19.2	8306	
11:08:21 63.9	19.1	8324	
11:08:22 64.1	19.1	8351	
11:08:23 64.3	19.1	8369	
11:08:24 64.5	19.1	8399	
11:08:26 64.7	19.1	8419	
11:08:27 64.9	19.1	8449	
11:08:28 65.1	19.1	8470	
11:08:29 65.3	19.1	8494	
11:08:30 65.7	19.1	8529	
11:08:31 65.7	19.1	8551	
11:08:32 65.9	19.1	8588	
11:08:33 66.1	19.1	8612	
11:08:34 66.4	19.1	8651	
11:08:35 66.8	19.1	8676	
11:08:37 67.3	19.1	8718	
11:08:38 67.6	19.1	8744	
11:08:39 68.0	19.1	8787	
11:08:40 68.3	19.1	8815	
11:08:41 68.4	19.1	8845	
11:08:42 68.9	19.1	8889	
11:08:43 69.0	19	8918	
11:08:44 69.5	19	8964	
11:08:45 70.1	19	8995	
11:08:46 70.3	19	9042	
11:08:48 70.9	19	9073	
11:08:49 71.0	19	9122	
11:08:50 71.4	19	9154	
11:08:51 71.8	19	9205	
11:08:52 72.2	19	9237	
11:08:53 72.6	19	9288	
11:08:54 73.1	19	9321	
11:08:55 73.5	19	9373	
11:08:56 73.7	19	9408	
11:08:58 74.1	19	9459	
11:08:59 74.5	19	9495	
11:09:00 75.1	19	9530	
11:09:01 75.5	19	9586	
11:09:02 76.1	19	9621	
11:09:03 76.3	19	9677	
11:09:04 77.0	19	9713	
11:09:05 77.0	19	9769	
11:09:06 77.6	19	9808	
11:09:07 78.1	18.9	9865	
11:09:09 78.7	18.9	9903	
11:09:10 79.3	18.9	9962	
11:09:11 79.6	18.9	10002	
11:09:12 80.0	18.9	10062	
11:09:13 80.4	18.9	10101	
11:09:14 81.1	18.9	10143	
11:09:15 81.3	18.9	10206	
11:09:16 82.0	18.9	10246	
11:09:17 82.3	18.9	10309	
11:09:18 83.0	18.9	10352	
11:09:20 83.5	18.9	10416	
11:09:21 84.2	18.9	10459	
11:09:22 84.6	18.9	10525	
11:09:23 85.3	18.9	10569	
11:09:24 85.6	18.9	10635	
11:09:25 86.2	18.9	10680	
11:09:26 86.9	18.9	10747	
11:09:27 87.3	18.9	10794	
11:09:28 87.8	18.9	10861	
11:09:30 88.7	18.8	10906	
11:09:31 89.1	18.8	10977	
11:09:32 89.7	18.8	11022	
11:09:33 90.2	18.8	11092	
11:09:34 90.8	18.8	11139	
11:09:35 91.4	18.8	11209	
11:09:36 91.9	18.8	11256	
11:09:37 92.3	18.8	11302	
11:09:38 93.0	18.8	11373	
11:09:39 93.3	18.8	11421	
11:09:41 94.0	18.8	11493	
11:09:42 94.3	18.8	11541	
11:09:43 94.8	18.8	11612	
11:09:44 95.3	18.8	11661	
11:09:45 96.0	18.8	11734	
11:09:46 96.7	18.8	11783	
11:09:47 97.0	18.8	11854	
11:09:48 97.8	18.8	11903	
11:09:49 98.4	18.7	11976	
11:09:51 98.7	18.7	12025	
11:09:52 99.6	18.7	12098	
11:09:53 99.9	18.7	12146	
11:09:54 100.3	18.7	12195	
11:09:55 101.0	18.7	12270	
11:09:56 101.3	18.7	12318	
11:09:57 102.1	18.7	12392	
11:09:58 102.6	18.7	12440	
11:09:59 103.2	18.7	12515	
11:10:00 103.8	18.7	12563	
11:10:02 104.3	18.7	12636	
11:10:03 104.7	18.7	12685	
11:10:04 105.3	18.7	12756	
11:10:05 106.0	18.7	12804	
11:10:06 106.8	18.7	12876	
11:10:07 107.3	18.7	12922	
11:10:08 108.0	18.7	12991	
11:10:09 108.5	18.7	13038	
11:10:10 109.0	18.7	13083	
