Time  	KZ11W:	KZ11C:	SD13L:
11:23:37 110.1	16	12427	
11:23:38 110.2	16	12439	
11:23:39 110.1	16	12448	
11:23:40 110.2	16	12462	
11:23:41 110.2	16	12491	
11:23:43 110.3	16	12494	
11:23:44 108.6	16	12397	
11:23:45 108.7	16	12455	
11:23:46 108.8	16	12480	
11:23:47 108.7	16	12512	
11:23:48 109.0	16	12553	
11:23:49 109.2	16	12578	
11:23:50 109.4	16	12606	
11:23:51 109.6	16	12620	
11:23:53 109.7	16	12651	
11:23:54 109.9	16	12672	
11:23:55 110.1	16	12677	
11:23:56 110.3	16	12686	
11:23:57 110.2	16	12690	
11:23:58 110.2	16	12703	
