Time  	KZ11W:	KZ11C:	SD13L:
11:27:50 7.4	16	699	
11:27:51 7.4	16	690	
11:27:52 7.3	16	691	
11:27:53 7.3	16	688	
11:27:54 7.2	16	686	
11:27:55 7.1	16	681	
11:27:57 7.0	16	679	
11:27:58 6.9	16	675	
11:27:59 6.8	16	674	
11:28:00 6.8	16	672	
11:28:01 6.7	16	671	
11:28:02 6.7	16	670	
11:28:03 6.7	16	669	
11:28:04 6.7	16	667	
11:28:05 6.7	16	664	
11:28:06 6.6	16	664	
11:28:08 6.6	16	663	
11:28:09 6.7	16	662	
11:28:10 6.7	16	661	
11:28:11 6.7	15.9	660	
11:28:12 6.7	15.9	659	
11:28:13 6.7	15.9	658	
11:28:14 6.7	15.9	657	
11:28:15 6.7	15.9	657	
11:28:16 6.7	15.9	655	
11:28:17 6.7	15.9	655	
11:28:19 6.7	15.9	654	
11:28:20 6.6	15.9	653	
11:28:21 6.6	15.9	653	
11:28:22 6.6	15.9	652	
11:28:23 6.5	15.9	652	
11:28:24 6.5	15.9	652	
11:28:25 6.5	15.9	654	
11:28:26 6.4	15.9	655	
11:28:27 6.4	15.9	655	
11:28:29 6.3	15.9	651	
11:28:30 6.3	15.9	651	
11:28:31 6.3	15.9	652	
11:28:32 6.2	15.9	655	
11:28:33 6.2	15.9	656	
11:28:34 6.2	15.9	656	
11:28:35 6.2	15.9	652	
11:28:36 6.2	15.9	655	
11:28:37 6.3	15.9	656	
11:28:38 6.3	15.9	657	
11:28:40 6.2	15.9	658	
11:28:41 6.3	15.9	658	
11:28:42 6.3	15.9	658	
11:28:43 6.3	15.9	660	
11:28:44 6.3	15.9	661	
11:28:45 6.3	15.9	662	
11:28:46 6.3	15.9	664	
11:28:47 6.3	15.9	664	
11:28:48 6.3	15.9	667	
11:28:50 6.3	15.9	672	
11:28:51 6.3	15.9	672	
11:28:52 6.4	15.9	673	
11:28:53 6.4	15.9	676	
11:28:54 6.4	15.9	678	
