Time  	KZ11W:	KZ11C:	SD13L:
10:00:36 390.9	20.9	30786	
10:00:37 395.5	20.9	30776	
10:00:39 398.7	20.9	30738	
10:00:40 401.5	20.9	30753	
10:00:41 403.6	20.9	30731	
10:00:42 404.5	20.9	30668	
10:00:43 405.1	20.9	30627	
10:00:44 405.8	20.9	30625	
10:00:45 406.9	20.9	30636	
10:00:46 407.9	20.9	30681	
10:00:47 408.8	20.9	30699	
10:00:48 409.5	21	30730	
10:00:50 408.1	21	30575	
10:00:51 404.4	20.9	30098	
10:00:52 403.5	21	30318	
10:00:53 403.6	21	30173	
10:00:54 399.4	21	29836	
10:00:55 394.4	21	29355	
10:00:56 385.7	21	28592	
10:00:57 375.0	21	28120	
10:00:58 372.0	21	28205	
10:00:59 370.2	21	28192	
10:01:01 366.7	21	27878	
10:01:02 361.7	21	27624	
10:01:03 358.5	21	27545	
10:01:04 362.1	21	28706	
10:01:05 377.9	21	30055	
10:01:06 393.5	21	30756	
10:01:07 401.7	21	31122	
10:01:08 404.3	21	31091	
10:01:09 400.2	21	30194	
10:01:11 386.7	21	29067	
10:01:12 367.6	21	27123	
10:01:13 349.9	21	26571	
10:01:14 350.7	21	27716	
10:01:15 358.8	21	28157	
10:01:16 360.3	21	28218	
10:01:17 362.3	21	28428	
10:01:18 363.0	21	28506	
10:01:19 362.8	21	28444	
10:01:20 363.1	21	28677	
10:01:22 362.1	21	28126	
10:01:23 354.9	21	27873	
10:01:24 354.3	21	27867	
10:01:25 345.3	21	26338	
10:01:26 326.2	21	24946	
10:01:27 304.0	21	23652	
10:01:28 282.1	21	22242	
10:01:29 271.5	21	22223	
10:01:30 275.0	21	23580	
10:01:31 288.3	21	24636	
10:01:33 303.3	21	26227	
10:01:34 320.8	21	27241	
10:01:35 331.7	21	27307	
10:01:36 329.2	21	26726	
10:01:37 322.4	21	26231	
10:01:38 322.0	21	26545	
10:01:39 326.5	21	26883	
10:01:40 332.4	21	27656	
10:01:41 352.4	21	29908	
10:01:43 369.1	21	29931	
10:01:44 375.1	21	30748	
10:01:45 386.7	21	31019	
10:01:46 389.6	21	30881	
10:01:47 394.8	21	31466	
10:01:48 399.7	21	31385	
10:01:49 396.2	21	30729	
10:01:50 389.9	21	30300	
10:01:51 374.3	21	27648	
10:01:52 338.5	21	25513	
10:01:54 315.0	21	24366	
10:01:55 301.5	21	24025	
10:01:56 292.9	21	23384	
10:01:57 279.4	21	22693	
10:01:58 266.2	21	21816	
10:01:59 256.6	21	21687	
10:02:00 253.0	21	21872	
10:02:01 254.3	21	22323	
10:02:02 259.8	21	22849	
10:02:03 267.7	20.9	23773	
10:02:05 276.7	20.9	24177	
10:02:06 277.2	20.9	23626	
10:02:07 272.6	20.9	23449	
10:02:08 272.2	20.9	23239	
10:02:09 268.3	20.9	22938	
10:02:10 263.6	20.9	22500	
10:02:11 260.5	20.9	22463	
10:02:12 263.9	20.9	23077	
10:02:13 270.0	20.9	23553	
10:02:15 277.0	20.9	24038	
10:02:16 282.6	20.9	24395	
10:02:17 290.9	20.9	25147	
10:02:18 300.1	20.8	25850	
10:02:19 315.8	20.8	27154	
10:02:20 324.3	20.8	26847	
10:02:21 324.2	20.8	26771	
10:02:22 332.3	20.8	27702	
10:02:23 340.0	20.8	27765	
10:02:24 334.6	20.8	26379	
10:02:25 315.3	20.8	24953	
10:02:27 299.1	20.8	24023	
10:02:28 292.9	20.8	23993	
10:02:29 293.2	20.8	24458	
10:02:30 302.1	20.8	25472	
10:02:31 318.0	20.8	26978	
10:02:32 330.7	20.8	27447	
10:02:33 332.4	20.8	26995	
10:02:34 326.6	20.8	26175	
10:02:36 309.9	20.8	24284	
10:02:37 298.3	20.8	24374	
10:02:38 300.2	20.8	24326	
10:02:39 289.2	20.8	23341	
10:02:40 277.0	20.8	22342	
10:02:41 260.4	20.8	21065	
10:02:42 238.9	20.8	19264	
10:02:43 223.3	20.8	18805	
10:02:44 214.7	20.8	18523	
10:02:45 209.7	20.8	18405	
10:02:47 205.8	20.8	18224	
10:02:48 202.5	20.8	18123	
10:02:49 200.1	20.8	18104	
10:02:50 198.6	20.8	18015	
10:02:51 195.7	20.8	17796	
10:02:52 192.2	20.8	17556	
10:02:53 189.5	20.8	17454	
10:02:54 187.3	20.8	17324	
10:02:55 185.5	20.8	17250	
10:02:57 183.9	20.7	17151	
10:02:58 182.7	20.7	17096	
10:02:59 181.5	20.7	17033	
10:03:00 180.5	20.7	16979	
10:03:01 179.3	20.7	16868	
10:03:02 178.1	20.7	16805	
10:03:03 177.1	20.7	16723	
10:03:04 176.3	20.7	16668	
10:03:05 175.5	20.7	16588	
10:03:06 174.8	20.7	16536	
10:03:08 174.2	20.7	16473	
10:03:09 173.7	20.7	16434	
10:03:10 173.2	20.7	16378	
10:03:11 173.4	20.7	16347	
10:03:12 172.9	20.7	16314	
10:03:13 172.8	20.7	16299	
10:03:14 173.0	20.7	16293	
10:03:15 172.9	20.7	16293	
10:03:16 172.9	20.7	16299	
10:03:18 173.1	20.7	16320	
10:03:19 173.3	20.7	16348	
10:03:20 173.6	20.6	16403	
10:03:21 175.1	20.6	16470	
10:03:22 176.4	20.6	16600	
10:03:23 177.5	20.6	16683	
10:03:24 179.3	20.6	16869	
10:03:25 181.5	20.6	17005	
10:03:26 183.5	20.6	17114	
10:03:28 184.7	20.6	17149	
10:03:29 185.3	20.6	17179	
10:03:30 186.6	20.6	17316	
10:03:31 190.1	20.6	17787	
10:03:32 198.8	20.6	18514	
10:03:33 211.7	20.6	20250	
10:03:34 254.0	20.6	24446	
10:03:35 325.0	20.6	30537	
10:03:36 372.7	20.6	31037	
10:03:38 387.1	20.6	31091	
10:03:39 393.4	20.6	30689	
10:03:40 372.7	20.6	25287	
10:03:41 307.2	20.6	20708	
10:03:42 263.8	20.6	19934	
10:03:43 256.5	20.6	20182	
10:03:44 248.6	20.6	19527	
10:03:45 239.8	20.6	19279	
10:03:46 233.4	20.6	18977	
10:03:47 231.4	20.6	19327	
10:03:49 232.9	20.6	19551	
10:03:50 235.9	20.6	19830	
10:03:51 230.4	20.6	19153	
10:03:52 237.2	20.6	22198	
10:03:53 300.1	20.6	27442	
10:03:54 365.6	20.6	31486	
10:03:55 394.3	20.6	31659	
10:03:56 402.7	20.6	31539	
10:03:57 408.2	20.6	31544	
10:03:59 413.4	20.6	31721	
10:04:00 417.8	20.6	31573	
10:04:01 413.7	20.6	30495	
10:04:02 398.4	20.6	28854	
10:04:03 366.9	20.6	25656	
10:04:04 334.2	20.6	24088	
10:04:05 319.4	20.6	24506	
10:04:06 323.9	20.6	25391	
10:04:07 331.7	20.6	25941	
10:04:08 331.9	20.6	25850	
10:04:10 325.1	20.6	24913	
10:04:11 314.5	20.6	24267	
10:04:12 298.2	20.6	22581	
10:04:13 286.9	20.6	23057	
10:04:14 294.8	20.6	24057	
10:04:15 303.4	20.6	24779	
10:04:16 308.6	20.6	25023	
10:04:17 303.2	20.6	23794	
10:04:18 287.6	20.6	22935	
10:04:20 284.4	20.6	23683	
10:04:21 296.4	20.6	24848	
10:04:22 303.1	20.6	24298	
10:04:23 291.8	20.6	23516	
10:04:24 282.3	20.6	22702	
10:04:25 273.9	20.6	22208	
10:04:26 257.2	20.6	20236	
10:04:27 237.4	20.6	19403	
10:04:28 226.2	20.5	19178	
10:04:29 221.0	20.5	19024	
10:04:31 215.1	20.5	18611	
10:04:32 209.4	20.5	18526	
10:04:33 206.5	20.5	18471	
10:04:34 203.9	20.5	18402	
