Time  	KZ11W:	KZ11C:	SD13L:
10:59:49 291.1	17.8	21463	
10:59:50 294.4	17.8	21599	
10:59:51 296.3	17.8	21624	
10:59:52 297.7	17.8	21670	
10:59:53 297.8	17.8	21535	
10:59:54 254.6	17.8	20699	
10:59:55 158.2	17.8	10816	
10:59:57 135.8	17.8	11485	
10:59:58 127.7	17.8	11248	
10:59:59 119.5	17.8	11060	
11:00:00 112.5	17.8	10986	
11:00:01 107.2	17.8	11016	
11:00:02 103.3	17.8	11022	
11:00:03 100.3	17.8	10997	
11:00:04 97.9	17.8	11018	
11:00:05 96.4	17.8	10940	
11:00:07 96.4	17.8	11246	
11:00:08 96.0	17.8	11219	
11:00:09 94.9	17.8	11122	
11:00:10 93.4	17.8	11047	
11:00:11 88.6	17.8	10471	
11:00:12 85.7	17.7	10366	
11:00:13 84.5	17.8	10093	
11:00:14 83.3	17.7	10109	
11:00:15 91.8	17.7	10658	
11:00:16 91.3	17.7	10537	
11:00:18 90.4	17.7	10346	
11:00:19 87.2	17.7	10062	
11:00:20 83.9	17.7	9988	
11:00:21 82.7	17.7	9967	
