Time  	KZ11W:	KZ11C:	SD13L:
11:28:18 370.7	19.2	9481	
11:28:19 370.7	19.2	9570	
11:28:20 370.9	19.2	9604	
11:28:21 371.3	19.2	9553	
11:28:22 371.9	19.2	9556	
11:28:23 371.9	19.2	9610	
11:28:24 372.0	19.2	9633	
11:28:25 371.8	19.2	9878	
11:28:26 371.2	19.2	9907	
11:28:28 369.6	19.2	9871	
11:28:29 368.9	19.2	9895	
11:28:30 368.5	19.2	9654	
11:28:31 368.4	19.2	9710	
11:28:32 368.7	19.2	9571	
11:28:33 368.8	19.2	9625	
11:28:34 369.0	19.2	9952	
11:28:35 369.4	19.2	9856	
11:28:36 371.4	19.2	9612	
11:28:37 372.3	19.2	9574	
11:28:39 373.4	19.2	9622	
11:28:40 374.6	19.2	9574	
11:28:41 375.6	19.2	9569	
11:28:42 376.5	19.2	9575	
11:28:43 377.0	19.2	9596	
11:28:44 376.3	19.2	9586	
11:28:45 376.1	19.2	9603	
11:28:46 375.7	19.2	9600	
11:28:47 373.9	19.2	9789	
11:28:49 372.9	19.2	9954	
11:28:50 373.1	19.2	9910	
11:28:51 373.1	19.2	9900	
11:28:52 373.1	19.2	9902	
11:28:53 373.3	19.2	9905	
11:28:54 373.1	19.2	9902	
11:28:55 372.0	19.2	9898	
11:28:56 370.6	19.2	9899	
11:28:57 369.1	19.2	9890	
11:28:58 367.7	19.2	9890	
11:29:00 366.6	19.2	9889	
11:29:01 365.2	19.2	9876	
11:29:02 363.9	19.2	9887	
11:29:03 362.2	19.2	9858	
11:29:04 226.6	19.2	9843	
11:29:05 172.4	19.2	9840	
11:29:06 159.5	19.2	9840	
11:29:07 150.8	19.2	9842	
11:29:08 143.3	19.2	9841	
11:29:10 138.9	19.2	9843	
11:29:11 134.0	19.2	9844	
11:29:12 130.8	19.2	9845	
11:29:13 128.0	19.1	9846	
11:29:14 125.4	19.1	9846	
11:29:15 123.5	19.1	9846	
11:29:16 122.3	19.1	9845	
11:29:17 122.3	19.1	9845	
11:29:18 122.0	19.1	9843	
11:29:19 120.8	19.1	9840	
11:29:21 119.0	19.1	9840	
11:29:22 119.4	19.1	9840	
11:29:23 120.4	19.1	9840	
11:29:24 118.9	19.1	9838	
11:29:25 117.7	19.1	9835	
11:29:26 117.9	19.1	9834	
11:29:27 116.9	19.1	9834	
11:29:28 116.1	19.1	9831	
11:29:29 117.0	19.1	9828	
11:29:31 120.7	19.1	9832	
11:29:32 124.0	19.1	9829	
11:29:33 123.0	19.1	9825	
11:29:34 121.8	19.1	9840	
11:29:35 122.1	19.1	9820	
11:29:36 121.7	19	9813	
11:29:37 119.2	19	9807	
11:29:38 118.3	19	9804	
11:29:39 118.8	19	9800	
11:29:41 118.6	19	9794	
11:29:42 118.8	19	9790	
11:29:43 118.9	19	9788	
11:29:44 118.9	19	9779	
11:29:45 119.3	19	9788	
11:29:46 121.4	19	9775	
11:29:47 122.2	19	9766	
11:29:48 121.3	19	9764	
11:29:49 122.2	19	9757	
11:29:50 122.1	19	9744	
11:29:52 121.8	19	9726	
11:29:53 121.4	19	9689	
11:29:54 248.9	19	9793	
11:29:55 281.0	19	9689	
11:29:56 237.1	19	9686	
11:29:57 106.7	19	9689	
11:29:58 70.2	19	9690	
11:29:59 59.6	19	9710	
11:30:00 51.7	19	9725	
11:30:02 44.2	19	9819	
11:30:03 39.3	19	9819	
11:30:04 35.9	19	9824	
11:30:05 33.5	19	9828	
11:30:06 31.6	19	9829	
11:30:07 30.3	19	9832	
11:30:08 29.1	19	9835	
11:30:09 28.4	19	9839	
11:30:10 27.9	19	9843	
11:30:12 27.3	19	9847	
11:30:13 26.8	19	9858	
11:30:14 26.6	19	9865	
11:30:15 26.7	19	9680	
11:30:16 26.4	19	9750	
11:30:17 26.7	19	9666	
11:30:18 26.6	19	9686	
11:30:19 26.6	19	9669	
11:30:20 26.5	19	9692	
11:30:22 26.3	19	9667	
11:30:23 26.2	19	9679	
11:30:24 26.0	19	9694	
11:30:25 26.0	19	9710	
11:30:26 26.1	19	9737	
11:30:27 26.2	19	9703	
11:30:28 26.2	19	9694	
11:30:29 26.2	19	9858	
11:30:30 26.1	19	9891	
11:30:31 25.9	19	9893	
11:30:33 25.8	19	9893	
11:30:34 25.7	19	9900	
11:30:35 25.6	19	9953	
