Time  	KZ11W:	KZ11C:	SD13L:
10:12:48 435.8	19.7	32489	
10:12:49 437.1	19.7	32646	
10:12:50 438.7	19.7	32713	
10:12:52 439.6	19.7	32714	
10:12:53 438.7	19.7	32643	
10:12:54 437.9	19.7	32251	
10:12:55 428.7	19.8	31313	
10:12:56 410.9	19.8	29896	
10:12:57 403.4	19.8	29839	
10:12:58 388.9	19.8	28426	
10:12:59 389.1	19.8	29854	
10:13:00 408.0	19.8	31240	
10:13:02 412.5	19.8	30988	
10:13:03 411.3	19.8	30962	
10:13:04 414.1	19.8	31257	
10:13:05 414.4	19.8	30850	
10:13:06 411.4	19.8	30746	
10:13:07 411.5	19.8	31177	
10:13:08 416.2	19.8	31349	
10:13:09 417.6	19.8	31328	
10:13:10 417.7	19.8	31289	
10:13:11 414.9	19.8	30856	
10:13:13 403.9	19.8	29996	
10:13:14 402.8	19.8	30398	
10:13:15 399.3	19.8	29567	
10:13:16 379.3	19.8	27802	
10:13:17 346.9	19.8	25614	
10:13:18 337.9	19.8	25759	
10:13:19 313.9	19.9	22766	
10:13:20 287.8	19.8	22093	
10:13:21 276.1	19.8	21968	
10:13:23 271.4	19.8	22021	
10:13:24 265.4	19.8	21649	
10:13:25 264.5	19.8	22120	
10:13:26 273.6	19.8	23240	
10:13:27 280.9	19.8	23634	
10:13:28 297.0	19.8	25773	
10:13:29 323.4	19.8	27360	
10:13:30 337.3	19.8	27065	
10:13:31 333.6	19.8	26628	
10:13:33 335.3	19.8	27013	
10:13:34 337.8	19.8	26637	
10:13:35 332.2	19.8	26149	
10:13:36 327.3	19.8	25587	
10:13:37 318.2	19.8	25142	
10:13:38 314.2	19.8	24899	
10:13:39 313.3	19.8	25041	
10:13:40 305.2	19.8	23481	
10:13:41 277.5	19.8	21765	
10:13:43 260.1	19.8	21142	
10:13:44 262.1	19.8	22019	
10:13:45 264.9	19.8	21808	
10:13:46 252.9	19.8	20738	
10:13:47 234.5	19.8	19237	
10:13:48 222.3	19.8	18870	
10:13:49 215.9	19.8	18654	
10:13:50 211.7	19.8	18555	
10:13:51 208.7	19.8	18464	
10:13:52 205.5	19.8	18360	
10:13:54 202.9	19.8	18239	
10:13:55 200.7	19.8	18199	
10:13:56 199.0	19.8	18141	
10:13:57 197.4	19.8	18092	
10:13:58 195.6	19.8	17970	
10:13:59 193.8	19.8	17939	
10:14:00 193.1	19.8	17991	
10:14:01 193.1	19.8	18032	
10:14:02 192.9	19.8	18036	
10:14:04 192.9	19.8	18047	
10:14:05 192.4	19.8	18036	
10:14:06 191.9	19.8	18029	
10:14:07 191.9	19.8	18094	
10:14:08 192.2	19.8	18184	
10:14:09 192.7	19.8	18324	
10:14:10 194.9	19.8	18400	
10:14:11 195.1	19.8	18407	
10:14:12 196.2	19.8	18528	
10:14:13 198.2	19.8	18751	
10:14:15 207.7	19.7	19945	
10:14:16 216.6	19.7	20156	
10:14:17 214.4	19.7	19488	
10:14:18 208.2	19.7	19090	
10:14:19 204.5	19.7	18860	
10:14:20 202.6	19.7	18751	
10:14:21 199.7	19.7	18429	
10:14:22 196.8	19.7	18319	
10:14:23 195.5	19.7	18337	
10:14:25 195.1	19.7	18349	
10:14:26 194.8	19.7	18406	
10:14:27 195.6	19.7	18467	
10:14:28 195.8	19.7	18520	
10:14:29 195.8	19.7	18571	
10:14:30 196.2	19.7	18864	
10:14:31 200.2	19.7	19124	
10:14:32 201.7	19.7	19131	
10:14:33 201.9	19.7	19169	
10:14:35 202.9	19.7	19334	
10:14:36 204.8	19.7	19468	
10:14:37 207.0	19.7	19764	
10:14:38 210.9	19.7	20001	
10:14:39 212.6	19.7	19978	
10:14:40 214.0	19.7	20197	
10:14:41 218.6	19.7	20485	
10:14:42 222.2	19.7	20759	
10:14:43 228.0	19.7	21268	
10:14:44 238.4	19.7	22317	
10:14:46 249.0	19.7	22722	
10:14:47 251.1	19.7	22207	
10:14:48 239.7	19.7	21106	
10:14:49 228.1	19.7	20268	
10:14:50 220.8	19.7	19931	
10:14:51 216.3	19.7	19881	
10:14:52 216.0	19.7	20010	
10:14:53 219.0	19.7	20534	
10:14:54 222.1	19.7	20658	
10:14:56 224.2	19.7	20791	
10:14:57 225.8	19.7	20882	
10:14:58 223.7	19.7	20239	
10:14:59 216.3	19.7	19748	
10:15:00 210.8	19.7	19415	
10:15:01 207.1	19.7	19266	
10:15:02 204.5	19.7	19119	
10:15:03 202.8	19.7	19074	
10:15:04 201.7	19.7	19065	
10:15:06 201.2	19.7	19093	
10:15:07 201.3	19.7	19137	
10:15:08 201.9	19.6	19206	
10:15:09 202.1	19.6	19237	
10:15:10 202.2	19.6	19264	
10:15:11 202.2	19.6	19295	
10:15:12 203.5	19.6	19657	
10:15:13 208.6	19.6	19912	
10:15:14 209.2	19.6	19687	
10:15:16 206.8	19.6	19536	
10:15:17 206.3	19.6	19338	
10:15:18 204.4	19.6	19284	
10:15:19 204.9	19.6	19338	
10:15:20 205.0	19.6	19420	
10:15:21 205.4	19.6	19488	
10:15:22 206.0	19.6	19507	
10:15:23 207.5	19.6	19628	
10:15:24 210.4	19.6	19932	
10:15:25 216.2	19.6	20604	
10:15:27 224.3	19.6	21151	
10:15:28 232.5	19.6	21605	
10:15:29 235.7	19.6	21621	
10:15:30 240.6	19.6	22323	
10:15:31 249.4	19.6	22695	
10:15:32 250.4	19.6	21888	
10:15:33 242.2	19.6	21509	
10:15:34 245.0	19.6	22222	
10:15:35 251.7	19.6	22453	
10:15:37 252.7	19.6	22011	
10:15:38 247.1	19.6	21435	
10:15:39 238.5	19.6	20891	
10:15:40 231.2	19.6	20390	
10:15:41 226.2	19.6	20182	
10:15:42 224.7	19.6	20397	
10:15:43 228.9	19.6	20826	
10:15:44 233.9	19.6	21279	
10:15:45 234.6	19.6	21129	
10:15:46 233.4	19.6	21163	
10:15:48 234.2	19.6	21179	
10:15:49 236.2	19.6	21426	
10:15:50 239.1	19.6	21645	
10:15:51 239.5	19.6	21255	
10:15:52 236.3	19.6	21015	
10:15:53 232.0	19.6	20405	
10:15:54 223.3	19.6	19777	
10:15:55 217.1	19.6	19541	
10:15:56 213.8	19.5	19398	
10:15:58 210.9	19.5	19131	
10:15:59 207.0	19.5	18945	
10:16:00 204.3	19.5	18856	
10:16:01 202.0	19.5	18724	
10:16:02 200.1	19.5	18663	
10:16:03 198.6	19.5	18605	
10:16:04 197.5	19.5	18588	
10:16:05 196.6	19.5	18566	
10:16:06 196.0	19.5	18561	
10:16:08 195.4	19.5	18562	
10:16:09 195.0	19.5	18570	
10:16:10 195.1	19.5	18584	
10:16:11 195.0	19.5	18595	
10:16:12 194.8	19.5	18613	
10:16:13 194.8	19.5	18625	
10:16:14 194.8	19.5	18650	
10:16:15 194.7	19.5	18664	
10:16:16 194.7	19.5	18691	
10:16:18 194.8	19.5	18708	
10:16:19 194.8	19.5	18738	
10:16:20 194.9	19.5	18760	
10:16:21 195.0	19.5	18794	
10:16:22 195.2	19.5	18815	
10:16:23 195.4	19.5	18850	
10:16:24 195.7	19.5	18872	
10:16:25 196.1	19.5	18907	
10:16:26 196.4	19.4	18930	
10:16:27 196.9	19.4	18963	
10:16:29 197.3	19.4	18986	
10:16:30 197.6	19.4	19013	
10:16:31 197.7	19.4	19027	
10:16:32 198.0	19.4	19035	
10:16:33 198.0	19.4	19038	
10:16:34 198.1	19.4	19038	
10:16:35 198.2	19.4	19032	
10:16:36 198.2	19.4	19027	
10:16:37 198.2	19.4	19020	
10:16:39 198.1	19.4	19013	
10:16:40 198.0	19.4	19004	
10:16:41 197.8	19.4	18995	
10:16:42 197.7	19.4	18987	
10:16:43 197.6	19.4	18978	
10:16:44 197.4	19.4	18969	
10:16:45 197.3	19.4	18963	
10:16:46 197.2	19.4	18957	
10:16:47 197.0	19.4	18952	
10:16:49 196.9	19.4	18947	
10:16:50 196.8	19.4	18945	
10:16:51 196.6	19.4	18939	
10:16:52 196.5	19.4	18938	
10:16:53 196.4	19.4	18936	
10:16:54 196.3	19.4	18936	
10:16:55 196.1	19.4	18933	
10:16:56 196.1	19.4	18933	
10:16:57 195.9	19.4	18933	
10:16:58 195.9	19.4	18932	
10:17:00 195.8	19.3	18934	
10:17:01 195.8	19.3	18935	
10:17:02 195.7	19.3	18938	
10:17:03 195.7	19.3	18939	
10:17:04 195.7	19.3	18942	
10:17:05 195.7	19.3	18945	
10:17:06 195.7	19.3	18945	
10:17:07 195.7	19.3	18948	
10:17:08 195.7	19.3	18948	
10:17:10 195.8	19.3	18945	
10:17:11 195.8	19.3	18940	
10:17:12 195.7	19.3	18929	
10:17:13 195.7	19.3	18920	
10:17:14 195.6	19.3	18895	
10:17:15 195.5	19.3	18878	
10:17:16 195.4	19.3	18844	
10:17:17 195.1	19.3	18815	
10:17:18 194.8	19.3	18764	
10:17:20 194.6	19.3	18721	
10:17:21 194.1	19.3	18651	
10:17:22 193.3	19.3	18598	
10:17:23 192.5	19.3	18514	
10:17:24 192.0	19.3	18453	
10:17:25 191.4	19.3	18359	
10:17:26 190.5	19.3	18291	
10:17:27 189.7	19.3	18193	
10:17:28 188.9	19.3	18128	
10:17:29 187.9	19.3	18027	
10:17:31 187.1	19.3	17958	
10:17:32 186.2	19.3	17891	
10:17:33 185.4	19.3	17790	
10:17:34 184.6	19.3	17717	
10:17:35 183.7	19.3	17610	
10:17:36 182.8	19.3	17538	
10:17:37 182.1	19.3	17430	
10:17:38 181.1	19.3	17356	
10:17:39 180.4	19.3	17244	
10:17:41 179.5	19.3	17170	
10:17:42 178.8	19.3	17058	
10:17:43 178.0	19.3	16981	
10:17:44 177.1	19.3	16869	
10:17:45 176.2	19.3	16796	
10:17:46 175.4	19.3	16685	
10:17:47 174.6	19.3	16612	
10:17:48 173.8	19.3	16508	
10:17:49 172.9	19.3	16436	
10:17:51 172.2	19.3	16334	
10:17:52 171.3	19.3	16266	
10:17:53 170.5	19.3	16160	
10:17:54 169.6	19.3	16086	
10:17:55 168.6	19.3	15971	
10:17:56 167.7	19.3	15891	
10:17:57 166.6	19.3	15765	
10:17:58 165.5	19.3	15681	
10:17:59 164.4	19.2	15548	
10:18:01 163.2	19.3	15458	
10:18:02 162.1	19.2	15324	
10:18:03 160.9	19.2	15237	
10:18:04 159.8	19.2	15117	
10:18:05 158.7	19.2	15037	
10:18:06 157.6	19.2	14914	
10:18:07 156.5	19.2	14838	
10:18:08 155.4	19.2	14766	
10:18:09 154.6	19.2	14663	
10:18:11 153.5	19.2	14598	
10:18:12 152.6	19.2	14512	
10:18:13 151.7	19.2	14453	
10:18:14 150.9	19.2	14373	
10:18:15 150.2	19.2	14323	
10:18:16 149.5	19.2	14250	
10:18:17 148.9	19.2	14202	
10:18:18 148.5	19.2	14129	
10:18:19 147.6	19.2	14079	
10:18:20 147.0	19.2	13998	
10:18:22 146.2	19.2	13945	
10:18:23 145.8	19.2	13864	
10:18:24 145.1	19.2	13813	
10:18:25 144.4	19.2	13740	
10:18:26 144.0	19.2	13696	
10:18:27 143.9	19.2	13638	
10:18:28 143.4	19.2	13605	
10:18:29 143.0	19.2	13555	
10:18:30 142.6	19.2	13526	
10:18:32 142.4	19.2	13488	
10:18:33 142.0	19.2	13470	
10:18:34 141.5	19.2	13451	
10:18:35 141.8	19.2	13443	
10:18:36 141.6	19.2	13436	
10:18:37 141.4	19.2	13437	
10:18:38 141.4	19.2	13467	
10:18:39 141.6	19.2	13515	
10:18:40 141.9	19.2	13548	
10:18:42 143.0	19.2	13611	
10:18:43 143.9	19.2	13626	
10:18:44 143.9	19.1	13638	
10:18:45 144.1	19.1	13647	
10:18:46 144.5	19.1	13673	
10:18:47 145.0	19.1	13695	
10:18:48 145.5	19.1	13744	
10:18:49 146.5	19.1	13794	
10:18:50 147.9	19.1	13887	
10:18:51 147.8	19.1	13827	
10:18:53 149.2	19.1	14072	
10:18:54 153.2	19.1	14393	
10:18:55 155.1	19.1	14296	
10:18:56 151.5	19.1	13734	
10:18:57 146.1	19.1	13366	
10:18:58 142.4	19.1	13097	
10:18:59 140.0	19.1	13029	
10:19:00 138.9	19.1	12977	
10:19:01 138.1	19.1	12948	
10:19:03 137.2	19.1	12870	
10:19:04 136.0	19.1	12778	
10:19:05 134.4	19.1	12619	
10:19:06 133.3	19.1	12593	
10:19:07 132.7	19.1	12509	
10:19:08 131.4	19.1	12397	
10:19:09 129.6	19.1	12228	
10:19:10 128.0	19.1	12132	
10:19:11 126.6	19.1	12048	
10:19:13 125.7	19.1	12008	
10:19:14 125.0	19.1	11962	
10:19:15 124.5	19.1	11952	
10:19:16 124.7	19.1	11981	
10:19:17 125.1	19.1	12015	
10:19:18 125.3	19.1	12120	
10:19:19 125.9	19.1	12216	
10:19:20 126.8	19.1	12125	
10:19:21 126.3	19.1	11970	
10:19:23 123.6	19.1	11673	
10:19:24 121.0	19.1	11535	
10:19:25 119.2	19	11412	
10:19:26 117.9	19.1	11357	
10:19:27 116.9	19.1	11314	
10:19:28 116.2	19	11264	
10:19:29 115.6	19	11227	
10:19:30 114.9	19	11177	
10:19:31 114.4	19	11145	
10:19:32 113.7	19	11098	
10:19:34 113.2	19	11069	
10:19:35 112.7	19	11030	
10:19:36 112.2	19	11008	
10:19:37 111.6	19	10974	
10:19:38 111.3	19	10953	
10:19:39 110.9	19	10924	
10:19:40 110.6	19	10905	
10:19:41 110.2	19	10877	
10:19:42 110.0	19	10863	
10:19:44 109.7	19	10839	
10:19:45 109.4	19	10824	
10:19:46 109.1	19	10802	
10:19:47 108.9	19	10787	
10:19:48 108.6	19	10767	
10:19:49 108.4	19	10753	
10:19:50 108.1	19	10735	
10:19:51 107.9	19	10723	
10:19:52 107.9	19	10707	
10:19:54 107.7	19	10696	
10:19:55 107.5	19	10688	
10:19:56 107.4	18.9	10676	
10:19:57 107.2	19	10667	
10:19:58 107.1	18.9	10656	
10:19:59 106.9	18.9	10648	
10:20:00 106.8	18.9	10637	
10:20:01 106.6	18.9	10628	
10:20:02 106.5	18.9	10617	
10:20:04 106.4	18.9	10608	
10:20:05 106.2	18.9	10596	
10:20:06 106.1	18.9	10590	
10:20:07 106.0	18.9	10581	
10:20:08 105.9	18.9	10577	
10:20:09 105.7	18.9	10569	
10:20:10 105.6	18.9	10564	
10:20:11 105.5	18.9	10556	
10:20:12 105.4	18.9	10552	
10:20:14 105.4	18.9	10546	
10:20:15 105.3	18.9	10542	
10:20:16 105.2	18.9	10537	
10:20:17 105.1	18.9	10533	
10:20:18 105.0	18.9	10525	
10:20:19 105.0	18.9	10520	
10:20:20 104.9	18.9	10510	
10:20:21 104.9	18.9	10503	
10:20:22 104.8	18.9	10494	
10:20:24 104.7	18.9	10489	
10:20:25 104.7	18.8	10481	
10:20:26 104.6	18.9	10477	
10:20:27 104.6	18.8	10469	
10:20:28 104.5	18.8	10463	
10:20:29 104.4	18.8	10455	
10:20:30 104.4	18.8	10451	
10:20:31 104.3	18.8	10446	
10:20:32 104.2	18.8	10443	
10:20:33 104.2	18.8	10442	
10:20:35 104.1	18.8	10440	
10:20:36 104.1	18.8	10440	
10:20:37 104.1	18.8	10442	
10:20:38 104.1	18.8	10444	
10:20:39 104.1	18.8	10448	
10:20:40 104.1	18.8	10450	
10:20:41 104.2	18.8	10454	
10:20:42 104.2	18.8	10456	
10:20:43 104.3	18.8	10463	
10:20:45 104.3	18.8	10469	
10:20:46 104.4	18.8	10478	
10:20:47 104.5	18.8	10484	
10:20:48 104.6	18.8	10496	
10:20:49 104.7	18.8	10500	
10:20:50 104.7	18.8	10508	
10:20:51 104.8	18.8	10513	
10:20:52 104.9	18.8	10519	
10:20:53 105.0	18.8	10528	
10:20:55 105.0	18.7	10533	
10:20:56 105.0	18.8	10537	
10:20:57 105.1	18.7	10542	
10:20:58 105.2	18.7	10548	
10:20:59 105.2	18.7	10551	
10:21:00 105.3	18.7	10555	
10:21:01 105.3	18.7	10558	
10:21:02 105.4	18.7	10566	
10:21:03 105.6	18.7	10572	
10:21:05 105.7	18.7	10581	
10:21:06 105.8	18.7	10587	
10:21:07 105.9	18.7	10596	
10:21:08 106.1	18.7	10599	
10:21:09 106.3	18.7	10601	
10:21:10 106.4	18.7	10602	
10:21:11 106.5	18.7	10603	
10:21:12 106.6	18.7	10602	
10:21:13 106.7	18.7	10600	
10:21:14 106.7	18.7	10599	
10:21:16 106.7	18.7	10599	
10:21:17 106.7	18.7	10599	
10:21:18 106.7	18.7	10602	
10:21:19 106.7	18.7	10603	
10:21:20 106.7	18.7	10605	
10:21:21 106.7	18.7	10608	
10:21:22 106.6	18.7	10610	
10:21:23 106.6	18.7	10614	
10:21:24 106.6	18.7	10616	
10:21:25 106.6	18.7	10620	
10:21:27 106.6	18.6	10623	
10:21:28 106.6	18.6	10628	
10:21:29 106.6	18.6	10631	
10:21:30 106.7	18.6	10634	
10:21:31 106.7	18.6	10640	
10:21:32 106.8	18.6	10643	
10:21:33 106.8	18.6	10648	
10:21:34 106.9	18.6	10651	
10:21:35 107.0	18.6	10655	
10:21:36 107.0	18.6	10657	
10:21:38 107.1	18.6	10660	
10:21:39 107.1	18.6	10663	
10:21:40 107.2	18.6	10664	
10:21:41 107.2	18.6	10663	
10:21:42 107.2	18.6	10658	
10:21:43 107.2	18.6	10649	
10:21:44 107.2	18.6	10637	
10:21:45 107.2	18.6	10627	
10:21:46 107.1	18.6	10611	
10:21:48 107.0	18.6	10599	
10:21:49 106.8	18.6	10579	
10:21:50 106.7	18.6	10565	
10:21:51 106.5	18.6	10549	
10:21:52 106.2	18.6	10524	
10:21:53 106.0	18.6	10507	
10:21:54 105.8	18.6	10480	
10:21:55 105.6	18.6	10462	
10:21:56 105.3	18.6	10435	
10:21:58 105.2	18.6	10416	
10:21:59 105.0	18.6	10389	
10:22:00 104.7	18.5	10369	
10:22:01 104.5	18.5	10339	
10:22:02 104.0	18.5	10319	
10:22:03 103.8	18.5	10289	
10:22:04 103.6	18.5	10268	
10:22:05 103.0	18.5	10238	
10:22:06 102.9	18.5	10216	
10:22:08 102.6	18.5	10186	
10:22:09 102.3	18.5	10167	
10:22:10 102.0	18.5	10138	
10:22:11 101.8	18.5	10116	
10:22:12 101.5	18.5	10086	
10:22:13 101.0	18.5	10064	
10:22:14 100.7	18.5	10032	
10:22:15 100.4	18.5	10011	
10:22:16 100.1	18.5	9989	
10:22:17 99.9	18.5	9955	
10:22:19 99.6	18.5	9933	
10:22:20 99.1	18.5	9898	
10:22:21 98.8	18.5	9872	
10:22:22 98.5	18.5	9837	
10:22:23 98.2	18.5	9812	
10:22:24 97.8	18.5	9773	
10:22:25 97.5	18.5	9747	
10:22:26 97.2	18.4	9707	
10:22:27 96.8	18.5	9679	
10:22:28 96.7	18.4	9637	
10:22:30 96.1	18.4	9612	
10:22:31 95.6	18.4	9572	
10:22:32 95.2	18.4	9546	
10:22:33 95.1	18.4	9512	
10:22:34 94.7	18.4	9488	
10:22:35 94.4	18.4	9465	
10:22:36 94.0	18.4	9432	
10:22:37 93.7	18.4	9409	
10:22:38 93.4	18.4	9378	
10:22:40 93.3	18.4	9357	
10:22:41 93.0	18.4	9330	
10:22:42 92.7	18.4	9312	
10:22:43 92.6	18.4	9288	
