Time  	KZ11W:	KZ11C:	SD13L:

10:54:14 427.5	20.1	38782	

10:54:16 423.2	20.1	38507	

10:54:17 422.5	20.1	40018	

10:54:18 431.6	20.1	39865	

10:54:19 432.6	20.1	40294	

10:54:20 435.4	20.1	40582	

10:54:21 439.1	20	40710	

10:54:22 440.1	20	39761	

10:54:23 433.8	20	38953	

10:54:24 425.2	20	38292	

10:54:25 420.7	20	38917	

10:54:27 423.9	20	38800	

10:54:28 424.3	20	38868	

10:54:29 423.4	20	38739	

10:54:30 422.5	20	38433	

10:54:31 419.3	19.9	37631	

10:54:32 414.6	19.9	38298	

10:54:33 419.4	19.9	38507	

10:54:34 420.2	19.9	38617	

10:54:35 422.2	19.9	39094	

10:54:36 426.4	19.9	39308	

10:54:38 427.5	19.9	38874	

10:54:39 423.6	19.8	37423	

10:54:40 411.1	19.8	35605	

10:54:41 392.4	19.8	33940	

10:54:42 378.5	19.8	33977	

10:54:43 374.6	19.8	33487	

10:54:44 366.6	19.8	32757	

10:54:45 362.0	19.8	32883	

10:54:46 360.4	19.8	33200	

10:54:47 358.0	19.7	32754	

10:54:49 346.1	19.7	31261	

10:54:50 334.4	19.7	30110	

10:54:51 313.2	19.7	28185	

10:54:52 321.0	19.7	31478	

10:54:53 345.2	19.7	32701	

10:54:54 345.2	19.7	31078	

10:54:55 324.7	19.6	29255	

10:54:56 319.9	19.6	31235	

10:54:57 333.4	19.6	31506	

10:54:59 321.9	19.6	28726	

10:55:00 305.1	19.6	27803	

10:55:01 291.2	19.6	26429	

10:55:02 288.5	19.6	27508	

10:55:03 293.9	19.5	28133	

10:55:04 294.8	19.5	27787	

10:55:05 286.3	19.5	27642	

10:55:06 296.1	19.5	29465	

10:55:07 306.8	19.5	29599	

10:55:08 294.6	19.5	27412	

10:55:10 285.6	19.4	26760	

10:55:11 268.8	19.4	23617	

10:55:12 249.4	19.4	23401	

10:55:13 264.0	19.4	27393	

10:55:14 280.5	19.4	27548	

10:55:15 270.4	19.4	23643	

10:55:16 239.9	19.4	21216	

10:55:17 218.5	19.4	19763	

10:55:18 208.0	19.4	19665	

10:55:19 211.8	19.4	21970	

10:55:21 226.6	19.3	23243	

10:55:22 237.3	19.3	24063	

10:55:23 249.8	19.3	26011	

10:55:24 270.9	19.3	28395	

10:55:25 292.3	19.3	30111	

10:55:26 304.1	19.3	30261	

10:55:27 301.0	19.3	29033	

10:55:28 298.0	19.3	28688	

10:55:29 297.4	19.3	28272	

10:55:30 289.7	19.2	27107	

10:55:32 279.7	19.2	26635	

10:55:33 278.5	19.2	26765	

10:55:34 285.6	19.2	27802	

10:55:35 281.5	19.2	26158	

10:55:36 274.3	19.2	26381	

10:55:37 271.5	19.2	25318	

10:55:38 251.2	19.2	22521	

10:55:39 228.0	19.2	20061	

10:55:40 206.4	19.2	18525	

10:55:41 193.6	19.1	18081	

10:55:43 186.2	19.1	17589	

10:55:44 178.2	19.1	16861	

10:55:45 170.2	19.1	16261	

10:55:46 161.0	19.1	15348	

10:55:47 153.5	19.1	14990	

10:55:48 147.4	19.1	14673	

10:55:49 143.0	19.1	14391	

10:55:50 139.6	19.1	14225	

10:55:51 136.3	19	13975	

10:55:52 133.5	19	13810	

10:55:53 130.0	19	13508	

10:55:55 127.1	19	13381	

10:55:56 125.4	19	13423	

10:55:57 125.0	19	13446	

10:55:58 123.7	19	13328	

10:55:59 121.4	18.9	13031	

10:56:00 118.6	18.9	12770	

10:56:01 115.3	18.9	12338	

10:56:02 112.0	18.9	12089	

10:56:03 109.1	18.9	11802	

10:56:04 106.8	18.9	11641	

10:56:06 104.7	18.9	11431	

10:56:07 102.9	18.9	11308	

10:56:08 101.3	18.9	11152	

10:56:09 100.1	18.8	11060	

10:56:10 98.9	18.8	10939	

10:56:11 97.7	18.8	10868	

10:56:12 96.6	18.8	10799	

10:56:13 95.6	18.8	10707	

10:56:14 94.6	18.8	10650	

10:56:15 93.5	18.8	10575	

10:56:17 92.5	18.8	10530	

10:56:18 91.5	18.7	10468	

10:56:19 90.8	18.7	10431	

10:56:20 90.2	18.7	10381	

10:56:21 90.0	18.7	10349	

