Time  	KZ11W:	KZ11C:	SD13L:
14:39:05 131.2	20.9	14783	
14:39:06 131.3	20.9	14796	
14:39:07 131.3	20.9	14817	
14:39:08 131.4	20.9	14831	
14:39:10 131.6	20.8	14849	
14:39:11 131.7	20.8	14862	
14:39:12 131.8	20.8	14881	
14:39:13 131.9	20.8	14893	
14:39:14 132.0	20.8	14911	
14:39:15 132.2	20.8	14926	
14:39:16 132.3	20.8	14937	
14:39:17 132.4	20.8	14956	
14:39:18 132.5	20.7	14971	
14:39:19 132.6	20.7	14987	
14:39:20 132.7	20.7	14998	
14:39:22 132.8	20.7	15017	
14:39:23 133.1	20.7	15025	
14:39:24 133.2	20.7	15041	
14:39:25 133.3	20.7	15050	
14:39:26 133.3	20.7	15064	
14:39:27 133.4	20.7	15074	
14:39:28 133.5	20.7	15081	
14:39:29 133.5	20.7	15092	
14:39:30 133.7	20.6	15097	
14:39:31 133.9	20.6	15107	
14:39:33 134.1	20.6	15112	
14:39:34 134.2	20.6	15116	
14:39:35 134.3	20.6	15117	
14:39:36 134.4	20.6	15120	
14:39:37 134.5	20.6	15121	
14:39:39 134.5	20.5	15117	
14:39:41 134.4	20.5	15114	
14:39:42 134.2	20.5	15106	
14:39:43 134.1	20.5	15099	
14:39:45 133.8	20.5	15083	
14:39:46 133.7	20.5	15069	
14:39:47 133.7	20.5	15057	
14:39:48 133.6	20.5	15041	
14:39:49 133.6	20.5	15031	
14:39:50 133.5	20.5	15015	
14:39:51 133.5	20.4	15005	
14:39:52 133.5	20.4	14998	
14:39:53 133.4	20.4	14988	
14:39:54 133.4	20.4	14988	
14:39:56 133.5	20.4	14999	
14:39:57 133.5	20.4	15003	
14:39:58 133.4	20.4	14984	
14:39:59 133.4	20.4	14978	
14:40:00 133.4	20.4	14985	
14:40:01 133.4	20.4	14991	
14:40:02 133.5	20.3	14992	
14:40:03 133.6	20.3	14987	
14:40:04 133.6	20.3	14978	
14:40:05 133.7	20.3	14962	
14:40:07 133.7	20.3	14955	
14:40:08 133.7	20.3	14949	
14:40:09 133.7	20.3	14946	
14:40:10 133.7	20.2	14945	
14:40:11 133.7	20.2	14948	
14:40:12 133.7	20.2	14955	
14:40:13 133.7	20.2	14964	
14:40:14 133.7	20.2	14976	
14:40:15 133.8	20.2	14981	
14:40:17 133.8	20.2	14976	
14:40:18 133.8	20.2	14967	
14:40:19 133.8	20.1	14947	
14:40:20 133.7	20.1	14935	
14:40:21 133.6	20.1	14926	
14:40:22 133.4	20.1	14919	
14:40:23 133.4	20.1	14911	
14:40:24 133.4	20.1	14906	
14:40:25 133.4	20.1	14902	
14:40:27 133.3	20.1	14897	
14:40:28 133.2	20	14893	
14:40:29 133.1	20	14890	
14:40:30 133.1	20	14886	
14:40:31 133.0	20	14884	
14:40:32 132.9	20	14882	
14:40:33 132.9	20	14880	
14:40:34 132.8	20	14879	
14:40:35 132.7	20	14878	
14:40:36 132.8	20	14876	
14:40:38 132.8	19.9	14875	
14:40:39 132.7	19.9	14874	
14:40:40 132.7	19.9	14872	
14:40:41 132.6	19.9	14869	
14:40:42 132.5	19.9	14868	
14:40:43 132.4	19.9	14864	
14:40:44 132.4	19.9	14861	
14:40:45 132.5	19.9	14852	
14:40:46 132.5	19.9	14848	
14:40:47 132.5	19.9	14840	
14:40:49 132.5	19.8	14834	
14:40:50 132.4	19.8	14824	
14:40:51 132.3	19.8	14818	
14:40:52 132.3	19.8	14805	
14:40:53 132.2	19.8	14798	
14:40:54 132.1	19.8	14787	
14:40:55 132.1	19.8	14778	
14:40:56 132.0	19.8	14770	
14:40:57 131.8	19.8	14757	
14:40:58 131.7	19.8	14748	
14:41:00 131.5	19.7	14736	
14:41:01 131.4	19.7	14728	
14:41:02 131.3	19.7	14715	
14:41:03 131.1	19.7	14706	
14:41:04 131.0	19.7	14693	
14:41:05 130.9	19.7	14685	
14:41:06 130.7	19.7	14672	
14:41:07 130.5	19.7	14663	
14:41:08 130.4	19.7	14649	
14:41:09 130.2	19.7	14639	
14:41:11 130.2	19.7	14629	
14:41:12 130.1	19.7	14615	
14:41:13 129.9	19.6	14604	
14:41:14 129.9	19.6	14588	
14:41:15 129.8	19.6	14578	
14:41:16 129.6	19.6	14561	
14:41:17 129.5	19.6	14550	
14:41:18 129.3	19.6	14533	
14:41:19 129.1	19.6	14523	
14:41:20 129.0	19.6	14506	
14:41:22 128.8	19.6	14497	
14:41:23 128.7	19.6	14488	
14:41:24 128.6	19.6	14473	
14:41:25 128.4	19.6	14464	
14:41:26 128.2	19.6	14450	
14:41:27 128.0	19.6	14442	
14:41:28 127.9	19.6	14432	
14:41:29 127.8	19.5	14424	
14:41:30 127.7	19.5	14413	
14:41:31 127.7	19.5	14406	
14:41:33 127.7	19.5	14399	
14:41:34 127.5	19.5	14394	
14:41:35 127.4	19.5	14385	
14:41:36 127.3	19.5	14381	
14:41:37 127.2	19.5	14376	
14:41:38 127.1	19.5	14370	
14:41:39 127.0	19.5	14366	
14:41:40 127.0	19.5	14360	
14:41:41 126.9	19.5	14358	
14:41:42 126.8	19.5	14352	
14:41:44 126.8	19.5	14349	
14:41:45 126.8	19.4	14343	
14:41:46 126.9	19.4	14339	
14:41:47 126.9	19.4	14335	
14:41:48 126.9	19.4	14332	
14:41:49 126.9	19.4	14326	
14:41:50 126.8	19.4	14323	
14:41:51 126.8	19.4	14318	
14:41:52 126.7	19.4	14315	
14:41:54 126.6	19.4	14311	
14:41:55 126.6	19.4	14308	
14:41:56 126.5	19.4	14305	
14:41:57 126.4	19.4	14299	
14:41:58 126.5	19.4	14295	
14:41:59 126.6	19.4	14291	
14:42:00 126.5	19.4	14285	
14:42:01 126.4	19.4	14279	
14:42:02 126.4	19.4	14276	
14:42:03 126.3	19.4	14270	
14:42:05 126.2	19.4	14264	
14:42:06 126.1	19.3	14258	
14:42:07 126.1	19.3	14255	
14:42:08 126.0	19.3	14248	
14:42:09 125.9	19.3	14243	
14:42:10 125.9	19.3	14235	
14:42:11 125.8	19.3	14230	
14:42:12 125.8	19.3	14224	
14:42:13 125.7	19.3	14217	
14:42:14 125.7	19.3	14211	
14:42:16 125.7	19.3	14202	
14:42:17 125.8	19.3	14199	
14:42:18 125.7	19.3	14191	
14:42:19 125.7	19.3	14186	
14:42:20 125.8	19.3	14178	
14:42:21 125.8	19.2	14172	
14:42:22 125.8	19.2	14165	
14:42:23 125.8	19.2	14160	
14:42:24 125.6	19.2	14155	
14:42:25 125.6	19.2	14147	
14:42:27 125.4	19.2	14141	
14:42:28 125.2	19.2	14133	
14:42:29 125.1	19.2	14128	
14:42:30 124.9	19.2	14119	
14:42:31 124.9	19.2	14114	
14:42:32 124.8	19.2	14105	
14:42:33 124.8	19.2	14100	
14:42:34 124.7	19.2	14091	
14:42:35 124.7	19.2	14084	
14:42:37 124.7	19.2	14074	
14:42:38 124.7	19.2	14067	
14:42:39 124.7	19.1	14058	
14:42:40 124.6	19.1	14052	
14:42:41 124.6	19.1	14045	
14:42:42 124.5	19.1	14035	
14:42:43 124.4	19.1	14029	
14:42:44 124.5	19.1	14019	
14:42:45 124.5	19.1	14013	
14:42:46 124.2	19.1	14004	
14:42:48 124.1	19.1	13997	
14:42:49 124.1	19.1	13986	
14:42:50 124.0	19.1	13980	
14:42:51 123.8	19.1	13972	
14:42:52 123.7	19.1	13966	
14:42:53 123.7	19.1	13956	
14:42:54 123.6	19.1	13949	
14:42:55 123.5	19.1	13942	
14:42:56 123.4	19	13933	
14:42:57 123.3	19	13927	
14:42:59 123.2	19	13918	
14:43:00 123.1	19	13912	
14:43:01 123.0	19	13902	
14:43:02 122.8	19	13895	
14:43:03 122.9	19	13886	
14:43:04 122.8	19	13880	
14:43:05 122.8	19	13871	
14:43:06 122.7	19	13866	
14:43:07 122.5	19	13860	
14:43:08 122.5	19	13851	
14:43:10 122.5	19	13845	
14:43:11 122.5	19	13836	
14:43:12 122.5	19	13830	
14:43:13 122.5	19	13821	
14:43:14 122.4	19	13815	
14:43:15 122.4	19	13809	
14:43:16 122.3	18.9	13803	
14:43:17 122.2	18.9	13797	
14:43:18 122.2	18.9	13792	
14:43:20 122.2	18.9	13785	
14:43:21 122.2	18.9	13779	
14:43:22 122.2	18.9	13772	
14:43:23 122.3	18.9	13767	
14:43:24 122.2	18.9	13759	
14:43:25 122.1	18.9	13753	
14:43:26 122.0	18.9	13746	
14:43:27 121.9	18.9	13741	
14:43:28 121.8	18.9	13736	
14:43:29 121.8	18.9	13729	
14:43:31 121.7	18.9	13725	
14:43:32 121.6	18.9	13718	
14:43:33 121.5	18.8	13712	
14:43:34 121.4	18.8	13705	
14:43:35 121.3	18.8	13700	
14:43:36 121.2	18.8	13694	
14:43:37 121.0	18.8	13689	
14:43:38 121.0	18.8	13682	
14:43:39 121.0	18.8	13679	
14:43:40 121.0	18.8	13673	
